#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,"Total S %",ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,POS
9,"Alvaro Munoz",MAN,46,24.2,3.1,7.8,.401,1.9,5.3,.362,1.2,1.7,.701,0.6,1.9,0.8,2.1,2.9,1.2,0.8,0.2,9.3,.547,.524,146.5,4.1,10.7,7.5,8.5,6.9,1.8,0.8,18.3,0.7,1.2,118.5,107.8,10.7,266.9,14.2,2
5,"Sergio Olmos",LBC,38,16.8,3.3,6.1,.541,0.0,0.0,.000,2.7,3.4,.777,1.1,3.0,1.3,2.0,3.4,0.8,0.6,0.5,9.3,.608,.541,131.8,9.7,15.2,12.4,10.5,12.6,2.0,3.0,25.5,-3.2,1.5,117.4,106.1,11.3,212.2,21.4,4
10,"Victor Serrano",ISB,33,19.8,3.6,6.7,.532,0.0,0.0,.000,1.8,2.7,.670,1.4,2.2,2.0,2.9,4.9,0.7,0.3,0.3,8.9,.566,.532,120.2,12.3,19.7,15.9,7.3,14.7,0.9,1.7,23.7,-4.7,1.3,108.9,111.8,-2.9,194.8,17.8,4
18,"Rokas Uzas",OUR,26,23.9,3.4,9.1,.373,1.4,5.2,.276,0.7,1.0,.760,1.5,1.8,1.4,2.3,3.7,1.6,0.8,0.2,8.9,.470,.451,140.9,7.0,11.6,9.3,12.3,13.6,1.9,0.8,22.2,-1.9,1.0,99.7,108.3,-8.6,130.6,12.2,2
11,"Romaric Belemene",OCB,39,23.4,3.4,8.5,.400,1.3,4.0,.314,0.9,1.9,.479,1.0,2.7,1.3,3.2,4.5,0.8,0.8,0.8,8.9,.481,.474,119.4,6.9,16.8,11.9,6.1,9.5,2.1,3.4,21.9,-2.0,1.1,100.3,104.9,-4.5,220.1,13.8,2
24,"Roger Fornas",PAE,29,22.7,3.1,8.3,.379,1.9,5.3,.364,0.6,0.8,.783,0.9,2.2,0.7,3.6,4.3,1.0,0.6,0.2,8.8,.512,.496,152.5,4.2,20.7,12.5,8.1,9.7,1.6,1.2,22.3,-1.2,1.1,102.9,112.4,-9.6,161.6,13.8,3
4,"Fran Cardenas",OCB,14,24.6,2.6,5.7,.450,1.1,2.1,.552,2.5,3.4,.745,1.6,1.6,0.6,2.1,2.7,4.1,1.2,0.1,8.8,.611,.550,174.6,3.3,10.2,6.8,28.1,17.9,2.9,0.3,17.7,4.9,1.5,123.2,108.8,14.4,118.6,17.9,0
18,"Davis Geks",OCB,39,25.5,2.8,6.2,.449,1.7,4.1,.430,1.4,1.8,.786,0.5,2.4,0.6,1.3,1.9,1.1,0.5,0.0,8.7,.623,.588,166.5,2.8,6.5,4.7,7.3,6.8,1.1,0.1,14.8,0.8,1.4,129.2,112.7,16.5,189.5,12.9,1
8,"Mamadou Samb",MEL,48,21.9,3.2,6.5,.502,1.1,2.6,.411,1.1,1.6,.733,1.1,2.8,1.2,4.1,5.3,1.0,0.6,0.8,8.7,.608,.584,164.6,7.4,21.0,14.7,8.3,12.9,1.6,3.4,19.3,-1.9,1.3,116.7,100.4,16.2,356.4,18.1,4
7,"Leonardo Demetrio",BRE,34,20.5,3.6,6.8,.535,0.2,0.7,.304,1.3,1.9,.652,0.8,1.3,2.2,3.4,5.6,0.6,0.4,0.4,8.7,.571,.550,149.1,14.3,20.1,17.3,5.0,9.8,1.0,2.3,19.5,-1.8,1.3,120.7,103.6,17.1,259.5,18.7,3
8,"Bryce Pressley",PAL,40,23.3,3.1,7.7,.403,0.6,2.0,.293,1.8,2.4,.777,0.9,1.9,0.7,2.6,3.3,2.2,0.8,0.4,8.6,.494,.442,147.2,3.6,13.9,8.6,17.3,9.6,2.0,1.8,20.6,2.4,1.1,107.2,105.5,1.6,248.0,15.1,1
15,"Arnaud Moto",KRC,31,21.1,3.0,6.8,.445,0.5,1.7,.288,2.0,2.4,.851,1.6,2.6,1.7,3.2,4.8,1.0,1.1,0.3,8.6,.546,.481,158.5,9.4,21.1,14.8,8.6,17.3,3.0,1.3,21.4,-4.6,1.3,106.7,107.5,-0.9,188.5,16.5,3
9,"Mouhamed Barro",OCB,38,20.7,3.4,6.0,.568,0.0,0.1,.000,1.7,3.4,.516,1.3,3.2,2.2,4.2,6.4,0.5,0.9,0.2,8.6,.571,.568,108.3,13.7,25.0,19.4,4.4,14.9,2.5,1.1,21.4,-4.9,1.4,109.8,102.0,7.8,259.8,18.6,3
14,"Guille Rubio",BRE,30,21.2,2.8,5.4,.515,0.2,0.7,.333,2.7,3.1,.872,1.3,2.2,1.3,3.0,4.3,1.6,0.6,0.0,8.6,.629,.537,172.1,8.0,16.9,12.6,11.6,16.4,1.5,0.0,18.1,-1.1,1.6,123.3,104.7,18.5,199.0,16.9,3
20,"Jonathan Gilling",LBC,37,24.8,2.8,7.2,.390,1.3,3.6,.348,1.6,2.1,.772,1.4,2.6,1.4,3.4,4.7,1.4,0.5,0.1,8.5,.524,.478,151.0,6.8,17.2,11.9,10.1,14.9,1.2,0.5,19.0,-2.0,1.2,103.5,108.6,-5.1,206.1,11.7,2
19,"Ashley Hamilton",MAN,47,19.8,2.9,7.1,.416,0.9,2.4,.383,1.6,2.1,.765,1.2,2.4,1.1,2.7,3.8,0.7,0.8,0.4,8.4,.526,.482,156.4,6.8,16.7,11.8,5.8,13.2,2.4,1.9,22.5,-3.9,1.2,105.2,103.0,2.2,229.8,14.7,3
11,"Christian Diaz",BRE,33,19.9,3.0,7.0,.431,1.4,3.5,.393,0.9,1.2,.750,1.6,2.2,0.2,2.1,2.2,2.8,1.2,0.0,8.4,.553,.530,157.4,1.0,12.5,7.1,21.7,17.5,3.5,0.0,21.8,1.3,1.2,108.4,101.7,6.6,187.0,15.2,0
18,"Arnas Velicka",FCB,9,19.5,2.7,7.0,.381,1.1,4.3,.256,1.9,2.6,.739,2.2,0.8,0.1,1.8,1.9,2.9,0.7,0.0,8.3,.513,.460,137.6,0.6,10.1,5.2,30.1,21.5,1.9,0.0,24.3,-1.5,1.2,95.5,108.0,-12.5,40.6,11.9,0
26,"Federico Ucles",ARAB,34,26.6,2.9,6.5,.445,1.0,2.7,.374,1.5,2.0,.754,0.9,2.4,1.5,3.9,5.4,0.9,0.9,0.4,8.3,.563,.523,157.3,6.7,18.4,12.5,4.9,10.7,1.8,1.3,14.3,-1.1,1.3,119.0,114.6,4.4,242.4,13.6,3
26,"Victor Perez",OCB,39,25.3,2.6,7.0,.377,1.4,4.6,.307,1.6,1.9,.803,1.7,1.7,0.2,1.7,1.9,2.3,0.6,0.0,8.3,.525,.478,148.7,1.0,8.3,4.7,15.4,18.2,1.4,0.1,19.0,-1.0,1.2,100.6,111.4,-10.8,157.2,9.7,1
17,"Sergi Pino",PAL,41,23.2,3.2,8.1,.395,1.1,3.5,.317,0.7,0.9,.778,1.1,1.6,0.6,2.7,3.2,1.4,1.0,0.1,8.2,.482,.463,149.0,3.0,14.2,8.4,10.8,11.2,2.5,0.4,20.7,-0.7,1.0,98.3,105.4,-7.2,203.8,12.3,2
19,"Aegir Steinarsson",CAS,38,23.7,3.0,7.3,.414,0.8,2.6,.323,1.3,1.8,.714,1.8,1.8,0.4,1.9,2.4,3.3,0.9,0.0,8.2,.505,.471,145.1,2.2,9.3,5.8,24.2,18.5,2.0,0.1,19.8,1.5,1.1,100.1,108.5,-8.4,205.2,11.6,0
