#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,"Total S %",ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,POS
22,"Quique Garrido",PAL,41,21.7,2.3,6.1,.372,1.5,3.8,.404,0.7,0.9,.778,1.0,2.0,0.2,1.3,1.5,2.0,0.6,0.0,6.8,.521,.498,155.4,1.1,7.6,4.3,15.9,13.4,1.6,0.0,17.3,1.6,1.1,105.6,110.3,-4.8,152.2,10.4,0
16,"Juan Cabot",KRC,33,19.5,2.8,6.5,.428,0.8,2.8,.293,0.3,0.6,.500,0.8,1.4,0.7,1.7,2.4,1.0,0.8,0.5,6.7,.494,.491,122.1,4.3,11.9,7.9,9.0,10.4,2.3,2.4,18.4,-0.7,1.0,104.7,109.9,-5.2,141.8,12.7,2
21,"Carles Marzo",MAG,34,21.1,2.4,6.2,.384,1.3,3.3,.396,0.6,0.9,.710,1.3,1.5,0.4,1.5,1.9,1.9,0.9,0.1,6.7,.505,.488,149.0,2.2,9.3,5.6,17.0,16.4,2.4,0.3,19.0,-0.1,1.1,99.0,109.9,-10.8,135.1,11.0,0
18,"Jubril Adekoya",MAG,33,17.3,2.7,5.4,.503,0.3,0.9,.300,0.9,1.2,.756,0.8,2.0,1.1,2.1,3.2,0.5,0.5,0.0,6.6,.559,.528,155.9,7.6,16.1,11.6,5.7,11.4,1.7,0.2,19.5,-2.5,1.2,110.3,109.1,1.2,132.4,14.9,3
27,"Aitor Zubizarreta",ISB,33,20.8,2.4,6.3,.378,0.7,2.4,.304,1.1,1.6,.673,2.2,1.8,0.6,1.9,2.6,2.5,0.4,0.1,6.6,.468,.435,135.5,3.8,12.3,7.9,22.0,23.4,1.0,0.3,22.4,-2.5,1.0,88.4,114.4,-26.0,104.8,8.1,1
25,"Jesse Chuku",LBC,39,18.9,2.5,5.5,.460,0.6,1.8,.348,0.8,1.2,.696,0.6,1.7,1.3,2.0,3.3,0.4,0.3,0.6,6.5,.540,.516,150.4,8.6,13.3,10.9,4.0,8.6,1.0,3.1,17.1,-1.5,1.2,111.4,109.2,2.2,182.5,13.7,3
12,"Danilo Siqueira",BRE,29,16.6,2.4,4.9,.490,0.4,1.4,.286,1.2,1.4,.810,0.8,2.2,0.7,1.1,1.8,1.0,0.7,0.3,6.4,.576,.531,158.5,5.7,7.8,6.7,9.2,12.9,2.3,1.9,18.2,-0.9,1.3,115.1,105.3,9.8,109.8,14.4,1
22,"Agusti Sans",MAG,34,21.6,2.4,6.2,.393,0.9,2.9,.327,0.5,0.8,.615,1.0,1.3,0.2,0.9,1.2,1.6,1.6,0.1,6.3,.481,.469,133.5,1.3,5.8,3.5,13.5,13.6,4.2,0.3,17.7,0.0,1.0,95.9,107.0,-11.1,128.5,11.1,1
27,"Pablo Perez",MAG,34,20.6,2.2,6.1,.369,0.5,2.0,.250,1.3,1.9,.703,1.1,1.6,0.2,1.6,1.8,1.7,0.5,0.0,6.3,.457,.410,132.2,1.4,10.3,5.6,15.6,14.0,1.4,0.0,19.6,0.2,1.0,93.5,112.0,-18.5,95.0,8.6,0
7,"Jorge Sanz",LBC,34,22.9,2.1,4.8,.427,0.6,2.2,.293,1.3,1.6,.800,1.1,0.9,0.8,2.8,3.6,4.1,0.9,0.0,6.1,.547,.494,152.0,4.3,15.9,10.0,30.3,16.1,2.4,0.1,14.2,7.5,1.3,121.3,108.9,12.5,284.9,16.2,0
10,"Sergi Quintela",BRE,34,17.0,2.1,4.7,.453,0.8,2.2,.347,1.1,1.4,.766,0.7,1.9,0.4,1.3,1.7,1.4,1.1,0.0,6.1,.573,.535,156.5,2.9,9.4,6.3,11.7,11.3,3.7,0.0,16.5,1.3,1.3,118.7,102.9,15.8,145.9,14.8,1
20,"Michael Karena",FOR,27,16.3,2.5,5.0,.504,0.0,0.1,.000,1.0,1.4,.730,1.1,2.2,1.1,1.1,2.2,0.4,0.2,0.0,6.0,.539,.504,123.3,8.7,8.9,8.8,5.2,16.5,0.8,0.0,21.1,-5.2,1.2,102.1,117.1,-15.0,57.4,11.3,4
20,"Joan Faner",CAS,37,19.1,2.2,5.9,.373,1.0,3.4,.298,0.6,0.9,.647,1.6,2.0,0.4,1.4,1.8,2.2,1.6,0.1,6.0,.476,.459,131.9,2.6,8.2,5.4,19.2,20.0,4.7,0.3,19.2,-0.6,1.0,92.1,102.6,-10.5,146.2,11.0,0
13,"Carlos Martinez",KRC,31,18.3,2.4,5.9,.408,0.4,2.1,.197,0.7,1.1,.629,1.0,1.0,1.3,2.2,3.5,1.3,0.7,0.2,6.0,.464,.443,123.3,8.3,16.3,12.0,12.9,13.1,2.2,1.3,19.1,-0.5,1.0,101.7,110.3,-8.6,148.6,13.3,2
15,"Martynas Andriuskevicius",PRA,39,17.6,2.5,4.8,.513,0.0,0.2,.143,0.9,2.2,.435,1.2,1.9,1.8,3.3,5.0,0.4,0.3,0.8,5.9,.512,.516,109.2,12.0,23.6,17.6,4.0,17.3,0.9,4.3,19.9,-5.7,1.2,98.6,96.8,1.9,191.6,14.7,4
25,"Jokubas Gintvainis",MAN,41,18.1,1.9,4.9,.395,0.8,2.6,.287,1.2,1.5,.803,1.4,2.4,0.3,0.8,1.1,2.2,0.6,0.1,5.8,.525,.472,148.5,2.2,5.2,3.7,19.8,20.1,1.7,0.6,18.5,0.5,1.2,103.2,109.8,-6.6,113.1,9.9,0
29,"Hector Manzano",OUR,33,20.5,1.9,5.2,.374,0.5,2.0,.269,1.3,1.6,.796,0.8,2.0,1.0,3.2,4.2,0.8,0.5,0.1,5.7,.485,.427,143.9,6.0,19.3,12.7,6.5,11.8,1.4,0.5,15.8,-1.3,1.1,105.0,108.2,-3.3,140.2,10.7,3
12,"Guillermo Corrales",CAC,29,27.7,2.0,4.9,.404,1.0,2.8,.366,0.7,1.0,.724,2.1,1.3,0.7,2.7,3.4,5.6,2.7,0.0,5.7,.537,.511,149.4,3.0,12.2,7.7,33.7,28.7,5.5,0.0,13.3,5.5,1.2,107.9,105.4,2.4,284.6,15.1,0
14,"Tautvydas Slezas",PAE,32,18.2,2.7,4.5,.586,0.0,0.0,.000,0.3,0.8,.440,1.6,2.5,1.9,3.0,4.9,1.2,0.7,0.2,5.7,.580,.586,102.6,13.7,21.2,17.5,12.8,25.0,2.2,1.3,18.8,-4.6,1.2,104.7,111.1,-6.4,171.4,15.6,4
24,"Chema Garcia",CAS,34,17.7,1.7,4.0,.431,0.6,1.6,.345,1.6,1.9,.841,1.6,1.8,0.2,1.4,1.6,2.6,0.5,0.0,5.6,.577,.500,161.7,1.1,8.8,5.0,23.8,24.7,1.5,0.0,17.0,0.7,1.4,104.3,109.5,-5.2,124.9,10.7,1
26,"Pol Oliver",CAC,27,17.0,1.9,4.5,.418,1.1,2.1,.518,0.4,0.7,.611,1.2,1.9,0.2,0.8,1.0,1.3,0.6,0.1,5.3,.546,.537,154.7,1.4,5.8,3.6,13.8,19.8,2.1,0.5,17.8,-1.9,1.2,97.6,115.4,-17.8,60.5,8.8,0
24,"Alex Reyes",VAL,36,17.3,1.7,4.1,.422,0.8,2.4,.349,0.9,1.3,.717,0.9,1.7,0.4,2.0,2.5,0.7,0.4,0.1,5.2,.559,.524,148.8,3.3,14.5,8.9,6.6,16.1,1.3,0.5,15.8,-2.6,1.3,105.9,110.1,-4.1,108.8,10.2,2
19,"Rowell Graham",VAL,37,16.3,1.9,4.3,.449,0.1,0.5,.278,1.2,1.9,.638,1.0,2.3,1.3,2.1,3.4,0.5,0.5,0.3,5.2,.507,.465,136.5,10.4,15.8,13.1,5.6,16.4,1.6,1.8,18.5,-4.1,1.2,101.2,108.7,-7.5,121.4,12.0,2
30,"Kregor Hermet",FOR,32,16.8,2.2,4.7,.460,0.5,1.5,.362,0.3,0.3,.818,1.0,2.4,0.7,2.2,3.0,0.6,0.3,0.1,5.1,.530,.517,164.0,5.6,17.4,11.5,6.3,17.6,1.2,0.6,17.8,-3.9,1.1,98.1,112.5,-14.3,86.4,9.7,3
26,"Filip Djuran",MEL,47,16.4,1.9,5.2,.358,1.0,3.6,.286,0.3,0.5,.727,0.4,1.7,0.2,1.4,1.6,1.1,0.4,0.0,5.1,.471,.457,137.1,1.8,9.4,5.9,11.3,7.7,1.4,0.1,18.2,1.6,1.0,101.7,107.8,-6.1,116.0,9.3,2
16,"Volodymyr Orlov",OUR,14,16.9,2.2,4.1,.534,0.0,0.0,.000,0.6,0.8,.727,1.0,1.9,1.8,2.9,4.6,0.4,0.2,0.7,5.0,.557,.534,126.2,13.1,20.9,17.0,3.8,18.2,0.7,4.3,15.9,-4.5,1.2,107.0,111.8,-4.8,67.9,14.2,4
17,"Dartaye Ruffin",PAL,40,17.5,2.1,4.0,.534,0.0,0.0,.000,0.7,1.4,.481,0.9,3.4,1.9,3.0,4.8,0.6,0.8,0.2,5.0,.536,.534,101.6,12.6,21.1,16.8,5.9,16.7,2.8,1.1,15.9,-3.1,1.2,106.8,101.5,5.3,179.8,14.2,4
22,"Terrence Bieshaar",KRC,33,17.3,1.7,4.4,.386,0.5,1.9,.270,1.0,1.3,.786,1.0,2.1,1.4,1.5,2.8,0.5,0.6,0.5,4.9,.495,.445,144.2,9.4,11.9,10.5,5.3,16.8,1.9,3.1,16.3,-3.6,1.1,101.6,110.7,-9.1,106.2,10.8,4
22,"Javier Lucas",MEL,48,16.6,1.9,3.8,.495,0.4,1.3,.270,0.4,0.6,.548,0.7,0.7,1.0,3.2,4.3,0.6,0.3,0.6,4.5,.547,.541,131.3,8.0,22.1,15.5,6.6,14.1,1.1,3.4,14.7,-1.5,1.2,108.4,101.3,7.2,255.4,14.3,3
21,"Marlon Johnson",PRA,41,15.8,1.8,4.2,.424,0.5,1.8,.280,0.3,0.5,.524,0.9,1.3,0.8,2.6,3.4,0.6,0.3,0.5,4.3,.491,.485,122.8,5.8,21.3,13.3,7.3,16.6,1.1,2.9,16.9,-3.0,1.0,96.7,98.6,-1.9,148.1,11.2,4
19,"Marcos Portalez",ISB,33,15.9,1.6,3.1,.505,0.0,0.0,1.000,0.9,1.3,.674,0.6,0.7,1.4,2.0,3.4,0.2,0.5,0.1,4.1,.550,.510,217.9,10.9,16.7,13.7,2.5,14.1,1.7,0.6,13.7,-3.0,1.3,110.9,111.2,-0.3,130.1,12.9,4
31,"Gerbert Marti",PRA,39,16.1,1.3,3.7,.354,0.8,2.5,.313,0.3,0.5,.524,0.5,1.5,0.6,2.2,2.7,0.7,0.2,0.5,3.7,.470,.462,119.1,4.3,17.0,10.5,7.7,11.5,0.9,3.0,13.9,-0.2,1.0,102.1,100.3,1.8,120.6,9.5,3
24,"Joaquin Portugues",PRA,35,15.7,1.2,3.0,.406,0.9,2.3,.390,0.3,0.5,.500,0.5,1.0,0.2,0.5,0.7,1.5,0.4,0.0,3.6,.557,.557,129.6,1.5,4.3,2.9,16.0,13.0,1.6,0.2,12.0,3.2,1.2,117.4,105.0,12.4,94.5,10.1,0
28,"Leo Cizmic",ARAB,34,15.4,1.4,3.3,.411,0.4,1.3,.273,0.5,0.6,.842,0.7,2.0,0.7,1.9,2.6,0.3,0.2,0.2,3.5,.499,.464,152.6,5.6,15.0,10.2,2.5,16.0,0.8,1.5,12.6,-3.1,1.1,99.7,117.6,-17.8,68.1,7.1,2
29,"Angel Hernandez",LBC,39,17.7,1.2,3.9,.311,0.7,2.3,.286,0.4,0.6,.708,0.9,1.6,0.3,1.6,1.9,1.5,0.7,0.0,3.5,.424,.397,130.5,2.1,11.5,6.7,14.1,18.6,2.1,0.0,14.1,0.3,0.9,87.5,109.1,-21.6,91.0,6.2,1
28,"Juan Pablo Sutina",FOR,34,15.9,1.1,2.9,.380,0.6,2.0,.299,0.5,0.6,.800,0.6,1.2,0.4,1.5,1.9,0.8,0.4,0.0,3.3,.515,.480,147.9,3.4,12.2,7.8,8.1,14.9,1.3,0.0,12.1,-0.2,1.1,105.1,115.3,-10.2,80.5,8.0,1
23,"Iker Salazar",ISB,30,15.5,0.9,2.2,.431,0.1,0.6,.222,0.3,0.6,.474,0.5,1.5,1.1,3.2,4.3,0.8,0.5,0.2,2.3,.470,.462,112.7,8.5,26.9,17.3,9.2,16.0,1.7,1.3,9.4,0.6,1.1,106.2,108.5,-2.3,125.9,10.8,2
