#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
1,"<a href=""/player/OD-Anosike/Summary/18407"">O.D. Anosike</a>",Starter,PF,19:57,2-7,0-0,0-2,3.0,3.0,2,5,1,3,1,0,0,4
8,"<a href=""/player/Ivan-Cruz/Summary/39793"">Ivan Cruz</a>",Starter,C,22:23,3-6,1-3,0-0,7.2,1.0,7,8,1,3,0,1,0,7
6,"<a href=""/player/Luke-Nelson/Summary/50483"">Luke Nelson</a>",Starter,SG,30:12,7-18,5-11,0-0,8.5,1.0,4,5,2,2,0,2,0,19
11,"<a href=""/player/Mikel-Uriz/Summary/39711"">Mikel Uriz</a>",Starter,PG,24:27,1-4,1-2,0-0,9.5,2.0,2,4,9,2,2,4,0,3
10,"<a href=""/player/Txemi-Urtasun/Summary/29025"">Txemi Urtasun</a>",Starter,SF,25:42,8-9,0-0,3-3,13.1,0.0,2,2,2,1,1,2,0,19
-,"<a href=""/player/Askia-Booker/Summary/30386"">Askia Booker</a>",Bench,SG,14:16,2-5,1-3,0-1,-2.4,0.0,1,1,2,2,0,5,0,5
-,"<a href=""/player/Nikola-Gacesa/Summary/19945"">Nikola Gacesa</a>",Bench,PF,03:19,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0
34,"<a href=""/player/Ryan-Kelly/Summary/2193"">Ryan Kelly</a>",Bench,PF,19:25,3-7,1-2,0-0,5.5,3.0,1,4,0,2,0,0,1,7
15,"<a href=""/player/Blake-Schilb/Summary/2641"">Blake Schilb</a>",Bench,SF,14:39,0-5,0-2,0-0,-1.8,1.0,2,3,1,3,1,1,0,0
25,"<a href=""/player/Rade-Zagorac/Summary/30700"">Rade Zagorac</a>",Bench,SF,09:27,0-1,0-0,0-0,0.0,1.0,1,2,0,0,0,1,0,0
32,"<a href=""/player/Vladimir-Golubovic/Summary/1897"">Vladimir Golubovic</a>",Bench,C,16:13,3-5,0-0,0-0,4.8,1.0,2,3,0,0,0,1,1,6
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,2,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
