#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,24:21,3-6,0-0,9-12,4.0,1.0,2,3,1,5,0,4,1,15
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,25:29,4-5,0-0,2-4,6.5,1.0,3,4,0,1,0,1,0,10
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,28:13,2-5,2-4,3-6,5.8,0.0,1,1,4,2,0,1,0,9
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Starter,SF,33:54,6-9,4-7,1-2,14.0,0.0,4,4,2,3,0,0,1,17
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,33:09,9-19,6-10,5-6,19.2,1.0,3,4,8,5,1,3,0,29
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,23:34,6-7,0-0,2-3,15.9,3.0,5,8,3,5,0,0,1,14
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,23:46,2-5,0-0,4-5,4.1,1.0,1,2,1,2,1,1,0,8
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,22:03,3-6,2-5,0-2,10.2,2.0,2,4,6,4,0,0,0,8
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,10:31,1-1,0-0,0-0,-0.8,0.0,2,2,0,5,0,2,1,2
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,1,3,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
