#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
7,"<a href=""/player/Facundo-Campazzo/Summary/40886"">Facundo Campazzo</a>",Starter,PG,25:44,5-10,2-5,3-4,12.0,0.0,2,2,6,3,0,0,0,15
7,"<a href=""/player/Luka-Doncic/Summary/54148"">Luka Doncic</a>",Starter,SF,22:29,3-9,1-6,4-6,11.8,0.0,5,5,5,0,1,1,1,11
5,"<a href=""/player/Rudy-Fernandez/Summary/371"">Rudy Fernandez</a>",Starter,SG,22:08,3-6,3-6,0-0,8.0,1.0,2,3,0,0,0,1,2,9
9,"<a href=""/player/Felipe-Reyes/Summary/2888"">Felipe Reyes</a>",Starter,C,24:15,4-6,0-0,4-5,16.9,2.0,7,9,4,2,1,1,1,12
44,"<a href=""/player/Jeffery-Taylor/Summary/4807"">Jeffery Taylor</a>",Starter,PF,23:36,4-4,2-2,2-2,12.5,0.0,1,1,5,3,0,0,0,12
20,"<a href=""/player/Jaycee-Carroll/Summary/1795"">Jaycee Carroll</a>",Bench,SG,17:19,6-9,6-9,0-0,12.2,0.0,0,0,0,0,0,0,1,18
8,"<a href=""/player/Jonas-Maciulis/Summary/2897"">Jonas Maciulis</a>",Bench,SF,16:08,4-6,3-5,0-0,8.0,0.0,2,2,2,4,0,0,0,11
22,"<a href=""/player/Edy-Tavares/Summary/39662"">Edy Tavares</a>",Bench,C,14:13,1-3,0-0,2-3,3.6,2.0,2,4,0,3,0,1,2,4
33,"<a href=""/player/Trey-Thompkins/Summary/2363"">Trey Thompkins</a>",Bench,PF,21:52,3-7,2-3,0-0,5.5,0.0,3,3,1,3,1,0,0,8
16,"<a href=""/player/Santiago-Yusta/Summary/54478"">Santiago Yusta</a>",Bench,SF,12:16,1-2,0-0,0-0,1.0,1.0,0,1,0,3,0,0,1,2
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,2,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
