#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,20:13,1-8,0-5,0-0,-1.2,1.0,3,4,1,3,0,0,0,2
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Starter,PF,19:47,4-7,4-6,0-0,7.5,0.0,1,1,0,0,0,0,0,12
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,SG,21:22,4-7,3-4,0-0,8.8,1.0,2,3,1,1,0,0,0,11
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,34:47,5-10,0-0,7-7,9.1,3.0,1,4,1,3,0,2,1,17
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,26:46,2-6,2-6,2-2,12.5,2.0,1,3,5,0,4,2,0,8
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,18:38,4-10,4-10,0-0,4.5,0.0,0,0,1,2,1,1,0,12
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,16:23,1-4,1-1,0-0,0.2,0.0,1,1,0,1,0,0,0,3
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,13:14,0-5,0-3,0-0,-1.8,0.0,2,2,1,3,0,0,1,0
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,18:03,2-7,0-0,0-2,3.2,3.0,3,6,1,2,0,0,0,4
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,05:34,0-2,0-2,0-0,-1.2,0.0,1,1,0,1,0,0,0,0
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,05:13,0-4,0-0,0-0,-3.8,0.0,1,1,0,3,0,0,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,3,6,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
