#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
11,"<a href=""/player/Jaka-Blazic/Summary/26124"">Jaka Blazic</a>",Starter,PF,30:31,3-9,2-5,9-10,9.2,0.0,5,5,0,0,0,1,0,17
3,"<a href=""/player/Jaime-Fernandez/Summary/25825"">Jaime Fernandez</a>",Starter,PG,26:44,9-16,1-4,0-0,11.2,1.0,1,2,5,3,1,2,0,19
25,"<a href=""/player/David-Jelinek/Summary/27998"">David Jelinek</a>",Starter,SG,22:16,4-8,3-6,1-1,6.6,1.0,4,5,1,4,0,2,0,12
14,"<a href=""/player/Oliver-Stevic/Summary/30144"">Oliver Stevic</a>",Starter,C,28:57,5-7,0-0,3-5,14.4,2.0,6,8,1,2,2,1,1,13
23,"<a href=""/player/David-Walker/Summary/44731"">David Walker</a>",Starter,SF,31:44,1-6,0-1,2-4,-0.8,1.0,1,2,1,3,0,0,0,4
16,"<a href=""/player/Andrew-Albicy/Summary/9265"">Andrew Albicy</a>",Bench,PG,16:50,0-1,0-1,2-2,0.0,0.0,0,0,2,1,0,2,0,2
12,"<a href=""/player/Vladimir-Jankovic/Summary/29992"">Vladimir Jankovic</a>",Bench,SF,22:03,2-8,1-6,0-0,4.2,1.0,5,6,1,3,0,0,1,5
22,"<a href=""/player/John-Shurna/Summary/3940"">John Shurna</a>",Bench,C,20:55,2-3,1-2,0-0,6.0,0.0,3,3,1,4,2,0,0,5
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,3,5,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,&nbsp;
