#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,25:00,1-1,1-1,3-6,4.2,0.0,5,5,0,3,0,1,0,6
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,23:51,0-7,0-3,5-6,3.2,0.0,5,5,5,2,2,4,0,5
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,25:05,3-6,0-0,2-4,10.0,1.0,8,9,0,2,2,2,2,8
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,SF,26:31,3-7,0-2,1-1,2.1,2.0,5,7,0,4,1,4,0,7
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,28:44,6-11,2-3,3-3,8.4,1.0,3,4,1,1,0,3,0,17
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,21:13,3-8,1-4,1-2,1.0,1.0,1,2,0,2,0,1,0,8
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,11:58,3-6,1-3,0-0,2.0,0.0,2,2,0,4,0,0,0,7
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,18:05,1-4,0-2,2-2,3.8,1.0,2,3,1,0,0,0,0,4
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,16:07,0-5,0-4,0-0,-1.2,0.0,2,2,3,0,0,2,0,0
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,03:26,0-1,0-1,0-0,-1.2,0.0,0,0,0,1,0,0,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
