#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,25:51,3-5,1-2,4-6,5.5,0.0,4,4,0,1,1,3,0,11
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,C,20:22,2-2,0-0,2-5,6.4,3.0,3,6,0,3,0,0,0,6
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,22:20,0-2,0-1,0-0,0.0,1.0,0,1,3,3,0,1,0,0
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,18:47,3-6,0-0,4-6,5.8,1.0,4,5,0,3,0,1,1,10
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,24:03,5-8,1-2,2-2,8.2,0.0,2,2,0,1,0,0,1,13
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,07:09,2-4,0-2,0-0,2.8,1.0,1,2,0,0,0,0,0,4
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,14:50,2-6,0-3,0-0,0.5,2.0,0,2,0,0,0,1,0,4
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,14:46,1-7,0-2,0-0,1.5,2.0,1,3,4,2,0,1,0,2
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Bench,C,14:27,0-1,0-0,2-2,4.8,0.0,5,5,0,3,0,1,3,2
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,11:01,0-1,0-0,0-0,-0.2,0.0,0,0,2,1,0,1,0,0
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,12:01,1-7,1-4,2-2,-3.5,0.0,0,0,0,3,0,1,0,5
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,14:23,4-7,1-2,1-2,2.8,0.0,1,1,0,4,0,0,0,10
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,2,3,&nbsp;,1,&nbsp;,2,&nbsp;,&nbsp;
