#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
9,"<a href=""/player/Paco-Cruz/Summary/22354"">Paco Cruz</a>",Starter,SG,22:58,0-3,0-1,2-2,1.0,0.0,6,6,4,1,0,6,0,2
31,"<a href=""/player/Christian-Eyenga/Summary/1661"">Christian Eyenga</a>",Starter,SF,28:52,2-10,0-3,1-2,-0.2,0.0,4,4,2,2,0,2,1,5
4,"<a href=""/player/Ian-OLeary/Summary/8541"">Ian O'Leary</a>",Starter,PF,25:33,3-6,0-1,0-2,3.8,0.0,4,4,0,2,1,1,1,6
2,"<a href=""/player/Marko-Popovic/Summary/2445"">Marko Popovic</a>",Starter,PG,23:47,5-11,3-9,4-4,7.8,1.0,2,3,0,2,0,1,0,17
,"<a href=""/player/Rolands-Smits/Summary/27874"">Rolands Smits</a>",Starter,C,17:32,2-4,1-2,4-4,7.0,0.0,2,2,0,0,1,0,0,9
15,"<a href=""/player/Chema-Gonzalez/Summary/39753"">Chema Gonzalez</a>",Bench,C,06:29,2-2,0-0,0-0,6.0,1.0,2,3,0,0,1,0,0,4
12,"<a href=""/player/Alex-Llorca/Summary/26130"">Alex Llorca</a>",Bench,SG,05:43,0-2,0-1,4-4,3.2,0.0,3,3,0,0,0,0,0,4
0,"<a href=""/player/Gabriel-Olaseni/Summary/28758"">Gabriel Olaseni</a>",Bench,C,11:20,0-0,0-0,0-0,-1.5,0.0,0,0,0,1,0,1,0,0
5,"<a href=""/player/Luka-Rupnik/Summary/26562"">Luka Rupnik</a>",Bench,PG,16:36,1-5,1-5,2-2,4.0,1.0,0,1,4,1,0,1,0,5
9,"<a href=""/player/Blagota-Sekulic/Summary/2735"">Blagota Sekulic</a>",Bench,PF,21:00,4-4,1-1,0-0,8.2,0.0,3,3,0,2,0,1,2,9
16,"<a href=""/player/Gregory-Vargas/Summary/41079"">Gregory Vargas</a>",Bench,PG,20:10,2-4,0-1,0-0,5.5,3.0,2,5,0,4,3,1,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
