#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,20:04,3-6,2-4,4-6,9.8,1.0,2,3,0,0,0,0,2,12
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,24:46,1-3,1-2,0-0,6.0,2.0,3,5,7,2,0,6,1,3
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,32:36,8-13,0-1,3-3,18.9,2.0,7,9,1,5,1,0,4,19
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,22:01,4-6,0-1,1-1,5.9,1.0,5,6,0,4,1,2,0,9
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,27:31,7-11,3-6,0-0,10.0,2.0,1,3,3,3,0,3,0,17
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,16:23,2-7,2-7,0-0,3.2,1.0,2,3,1,0,0,1,0,6
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,06:01,1-2,0-0,0-0,-0.2,0.0,1,1,0,1,0,1,0,2
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,16:23,2-5,0-1,4-6,8.2,1.0,3,4,3,0,0,0,0,8
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,16:35,0-0,0-0,0-0,0.0,0.0,0,0,2,2,1,2,0,0
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,00:44,0-1,0-1,0-0,-0.8,0.0,0,0,0,0,0,0,0,0
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,06:22,3-3,0-0,2-2,5.0,0.0,0,0,0,2,0,0,1,8
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,10:34,0-2,0-1,0-0,-1.8,0.0,1,1,1,4,0,0,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,5,7,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
