#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,19:39,1-3,1-3,2-2,11.2,1.0,3,4,6,2,1,0,0,5
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,27:08,6-7,0-0,3-4,12.0,1.0,7,8,0,3,1,3,1,15
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,22:02,5-8,0-0,0-0,9.0,2.0,4,6,1,2,1,2,1,10
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,SG,20:21,0-2,0-2,4-4,7.0,0.0,2,2,6,1,0,1,0,4
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SF,29:15,6-11,4-5,5-6,15.0,1.0,2,3,2,0,1,1,0,21
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,14:55,3-7,0-3,2-5,2.6,0.0,1,1,0,0,1,0,0,8
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,10:20,1-5,1-5,0-0,1.0,0.0,1,1,1,0,0,0,0,3
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,09:47,3-7,1-4,0-0,3.5,0.0,1,1,1,2,0,0,1,7
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,19:17,0-3,0-2,1-2,2.2,2.0,5,7,1,3,0,1,0,1
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,15:43,1-2,0-0,0-0,3.2,1.0,1,2,2,2,3,3,0,2
23,"<a href=""/player/Adam-Pechacek/Summary/28050"">Adam Pechacek</a>",Bench,PF,03:14,1-2,0-0,0-0,-1.5,0.0,0,0,0,2,0,1,0,2
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,08:19,1-3,0-1,0-0,-0.2,0.0,0,0,0,0,0,0,0,2
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
