#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Starter,SF,17:26,3-11,3-11,3-3,3.9,0.0,3,3,0,0,0,1,0,12
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,PG,22:11,3-4,2-2,3-4,9.0,0.0,0,0,4,5,2,1,0,11
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,32:54,4-10,0-0,4-4,6.0,3.0,4,7,0,4,0,3,2,12
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,24:17,4-9,2-4,2-2,8.0,4.0,4,8,0,3,0,2,0,12
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,28:06,6-12,4-8,6-8,12.8,1.0,5,6,0,2,0,1,0,22
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,17:05,1-7,0-2,4-4,1.5,1.0,1,2,1,1,1,1,0,6
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,10:00,1-3,1-2,0-0,1.2,1.0,0,1,0,1,0,0,0,3
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,15:43,1-2,0-0,1-1,-0.1,1.0,1,2,1,4,0,2,0,3
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,08:04,0-1,0-1,0-0,1.8,0.0,2,2,2,2,0,0,0,0
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,17:08,2-7,2-7,0-0,7.2,0.0,2,2,7,2,0,1,0,6
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,01:51,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,05:15,0-2,0-0,0-0,-2.5,1.0,0,1,0,4,0,0,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,2,5,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
