#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,PF,25:08,2-4,1-3,0-0,7.2,0.0,5,5,1,1,1,0,0,5
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,20:13,3-5,2-4,0-0,6.8,1.0,0,1,3,3,0,0,0,8
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,26:40,5-10,0-1,2-2,3.5,0.0,5,5,0,4,0,3,1,12
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,SG,19:47,1-4,1-3,0-0,7.0,1.0,2,3,7,3,1,2,0,3
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SF,37:05,6-11,2-5,1-1,9.4,1.0,4,5,1,2,0,1,0,15
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,07:03,1-4,1-4,0-0,-0.5,0.0,0,0,0,1,0,0,0,3
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,07:06,0-2,0-2,0-0,-1.0,1.0,0,1,0,1,0,0,0,0
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,17:33,3-6,1-3,0-0,3.8,0.0,1,1,1,3,4,3,0,7
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,17:22,4-8,0-0,0-0,3.5,2.0,2,4,0,4,0,0,0,8
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,18:25,3-8,2-6,0-0,5.5,0.0,4,4,0,1,1,0,0,8
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,03:38,2-4,0-0,0-0,1.5,1.0,0,1,1,1,0,1,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,2,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
