#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
17,"<a href=""/player/Axel-Hervelle/Summary/154"">Axel Hervelle</a>",Starter,PF,22:50,2-5,2-5,0-0,2.2,0.0,4,4,1,2,0,3,0,6
9,"<a href=""/player/Jonathan-Tabu/Summary/28610"">Jonathan Tabu</a>",Starter,PG,21:30,2-6,2-3,3-4,8.2,0.0,1,1,7,5,0,0,0,9
2,"<a href=""/player/Devin-Thomas/Summary/42311"">Devin Thomas</a>",Starter,C,24:22,5-6,0-0,3-7,11.4,2.0,4,6,0,3,1,0,1,13
20,"<a href=""/player/Dejan-Todorovic/Summary/39611"">Dejan Todorovic</a>",Starter,SG,21:31,3-8,2-6,0-0,6.0,1.0,0,1,3,2,0,0,1,8
19,"<a href=""/player/Pere-Tomas/Summary/26129"">Pere Tomas</a>",Starter,SF,26:20,2-3,2-3,0-0,5.2,1.0,2,3,0,4,3,2,0,6
-,"<a href=""/player/Ben-Bentil/Summary/80300"">Ben Bentil</a>",Bench,C,10:00,0-1,0-0,0-0,0.2,0.0,2,2,0,1,1,1,0,0
32,"<a href=""/player/Mickell-Gladness/Summary/11006"">Mickell Gladness</a>",Bench,C,02:19,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0
11,"<a href=""/player/Shane-Hammink/Summary/32785"">Shane Hammink</a>",Bench,PF,13:37,0-1,0-1,0-0,1.2,1.0,2,3,0,3,1,0,0,0
15,"<a href=""/player/Alex-Mumbru/Summary/2885"">Alex Mumbru</a>",Bench,SF,20:29,3-7,2-4,0-0,4.2,0.0,4,4,2,3,1,3,0,8
12,"<a href=""/player/Lucio-Redivo/Summary/42702"">Lucio Redivo</a>",Bench,PG,18:39,2-8,1-5,6-7,4.9,0.0,2,2,1,0,0,0,0,11
14,"<a href=""/player/Javi-Salgado/Summary/29047"">Javi Salgado</a>",Bench,PG,18:23,2-4,2-3,2-2,5.0,0.0,1,1,2,0,0,2,0,8
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,2,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
