#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,C,22:41,5-8,1-2,0-0,9.5,1.0,4,5,1,3,1,0,0,11
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,21:53,5-10,0-1,3-4,7.5,3.0,2,5,1,4,0,1,1,13
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,23:02,2-3,2-3,0-0,5.8,0.0,2,2,5,5,1,3,0,6
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Starter,SF,24:16,5-8,3-6,3-4,13.0,0.0,4,4,0,1,2,0,0,16
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,31:50,8-14,6-9,8-8,19.8,0.0,1,1,6,1,0,3,0,30
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,12:40,0-2,0-2,0-0,0.0,0.0,0,0,2,1,0,0,0,0
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,12:10,0-3,0-2,0-0,2.0,0.0,3,3,1,2,2,0,0,0
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,16:06,0-2,0-1,2-5,-1.1,0.0,1,1,1,5,2,1,0,2
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Bench,C,20:34,5-7,0-0,4-6,11.0,5.0,2,7,1,4,0,1,0,14
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,14:48,2-5,0-1,0-0,2.8,2.0,2,4,0,2,0,0,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,&nbsp;,&nbsp;
