#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,33:41,4-11,4-6,4-4,10.2,0.0,2,2,2,1,2,1,0,16
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,25:34,2-3,0-1,0-0,5.5,4.0,1,5,0,4,0,0,1,4
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,SG,22:57,3-5,0-0,1-2,5.0,2.0,2,4,2,2,0,2,0,7
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,38:30,8-14,0-0,0-2,7.0,0.0,7,7,1,4,1,3,0,16
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,34:34,3-8,3-7,1-1,12.9,1.0,3,4,7,2,1,1,0,10
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,12:11,1-3,1-3,0-0,1.8,0.0,0,0,0,0,1,0,0,3
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,10:26,2-4,1-2,0-0,4.5,0.0,0,0,3,3,1,0,0,5
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,19:26,4-9,0-1,2-4,2.0,1.0,1,2,1,3,0,1,0,10
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,06:30,0-0,0-0,0-0,0.0,0.0,2,2,0,3,0,0,0,0
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Bench,SF,21:11,7-12,5-9,1-1,7.1,0.0,0,0,1,3,0,3,0,20
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,2,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
