#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,29:03,2-4,0-1,2-2,2.8,2.0,2,4,1,4,1,3,0,6
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,PG,26:01,5-8,3-4,0-0,10.8,0.0,3,3,0,1,2,1,1,13
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,26:54,5-9,0-0,3-4,15.5,5.0,3,8,1,3,0,0,4,13
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,SF,24:03,5-11,0-2,2-2,5.5,3.0,2,5,1,4,0,1,0,12
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,30:01,9-18,2-6,0-0,15.5,2.0,4,6,4,2,2,1,0,20
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,13:59,1-5,0-3,0-0,0.2,0.0,2,2,0,1,2,1,0,2
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,06:30,1-6,0-5,0-0,-0.8,0.0,1,1,1,0,0,0,0,2
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,05:17,0-2,0-1,0-0,-1.8,0.0,1,1,0,2,0,0,0,0
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,18:37,3-7,1-1,2-3,9.4,0.0,1,1,7,2,0,0,0,9
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,19:25,0-5,0-3,2-2,1.2,0.0,1,1,5,2,1,2,0,2
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,3,5,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
