#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
7,"<a href=""/player/Jonathan-Barreiro/Summary/49148"">Jonathan Barreiro</a>",Starter,SF,23:29,1-5,1-4,0-0,1.8,1.0,2,3,1,2,2,2,0,3
11,"<a href=""/player/Tomas-Bellas/Summary/29044"">Tomas Bellas</a>",Starter,PG,23:29,2-6,1-2,8-10,4.8,1.0,2,3,1,3,0,2,0,13
27,"<a href=""/player/Nicolas-de-Jong/Summary/29614"">Nicolas de Jong</a>",Starter,C,22:36,3-6,0-1,3-4,8.2,1.0,5,6,1,3,1,0,0,9
13,"<a href=""/player/Gary-Neal/Summary/10568"">Gary Neal</a>",Starter,SG,33:13,10-16,6-9,10-11,18.9,0.0,2,2,3,3,0,4,0,36
32,"<a href=""/player/Jarvis-Varnado/Summary/2326"">Jarvis Varnado</a>",Starter,PF,24:48,2-4,0-0,3-5,6.6,2.0,4,6,0,3,0,1,2,7
45,"<a href=""/player/Janis-Blums/Summary/25159"">Janis Blums</a>",Bench,SG,11:32,0-3,0-3,0-0,1.8,0.0,4,4,2,2,0,0,0,0
9,"<a href=""/player/Nikola-Dragovic/Summary/6889"">Nikola Dragovic</a>",Bench,PF,12:25,1-3,0-2,2-2,3.8,1.0,1,2,2,2,0,0,0,4
4,"<a href=""/player/Bo-McCalebb/Summary/1907"">Bo McCalebb</a>",Bench,PG,17:00,4-8,0-0,2-3,8.9,0.0,2,2,3,1,3,1,0,10
24,"<a href=""/player/Michal-Michalak/Summary/24810"">Michal Michalak</a>",Bench,SG,11:46,2-5,0-1,0-0,4.0,0.0,3,3,1,1,1,0,0,4
33,"<a href=""/player/Alex-Suarez/Summary/25831"">Alex Suarez</a>",Bench,PF,07:58,1-2,1-1,0-0,1.8,1.0,1,2,0,3,0,0,0,3
5,"<a href=""/player/Juan-Jose-Triguero/Summary/29024"">Juan Jose Triguero</a>",Bench,C,11:44,2-2,0-0,0-0,3.2,0.0,1,1,1,2,0,0,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,1,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
