#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
23,"<a href=""/player/Jeff-Brooks/Summary/3972"">Jeff Brooks</a>",Starter,PF,21:16,5-8,1-2,1-1,9.1,1.0,4,5,0,1,1,1,0,12
9,"<a href=""/player/Alberto-Diaz/Summary/27692"">Alberto Diaz</a>",Starter,PG,21:12,0-1,0-1,2-2,5.2,1.0,3,4,4,3,1,2,0,2
3,"<a href=""/player/Ray-McCallum/Summary/7106"">Ray McCallum</a>",Starter,SG,18:58,3-4,1-1,0-0,6.5,0.0,2,2,2,2,0,0,0,7
16,"<a href=""/player/Nemanja-Nedovic/Summary/24375"">Nemanja Nedovic</a>",Starter,SF,23:43,3-12,0-5,0-0,5.5,0.0,2,2,8,2,0,0,0,6
17,"<a href=""/player/Giorgi-Shermadini/Summary/2602"">Giorgi Shermadini</a>",Starter,C,21:17,6-6,0-0,4-4,12.0,1.0,4,5,1,2,0,2,0,16
40,"<a href=""/player/James-Augustine/Summary/104"">James Augustine</a>",Bench,C,16:44,2-3,0-0,1-2,7.2,1.0,3,4,1,0,1,0,0,5
12,"<a href=""/player/Dragan-Milosavljevic/Summary/26111"">Dragan Milosavljevic</a>",Bench,SG,08:13,2-4,0-0,0-0,0.5,0.0,0,0,0,3,1,0,0,4
2,"<a href=""/player/Viny-Okouo/Summary/64084"">Viny Okouo</a>",Bench,C,02:09,0-1,0-0,0-0,0.2,0.0,0,0,0,0,0,0,1,0
10,"<a href=""/player/Sasu-Salin/Summary/28648"">Sasu Salin</a>",Bench,SG,16:17,2-7,2-7,3-4,6.8,1.0,2,3,2,0,0,0,0,9
43,"<a href=""/player/Carlos-Suarez/Summary/28148"">Carlos Suarez</a>",Bench,SF,18:44,2-3,0-1,6-6,13.5,1.0,2,3,6,1,0,0,0,10
21,"<a href=""/player/Adam-Waczynski/Summary/28634"">Adam Waczynski</a>",Bench,SF,16:48,6-9,2-5,0-0,11.0,0.0,3,3,1,1,2,1,0,14
11,"<a href=""/player/Daniel-Diez/Summary/25833"">Daniel Diez</a>",Bench,SF,14:59,4-7,3-5,0-0,7.5,0.0,1,1,0,0,1,0,0,11
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,1,3,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
