#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
0,"<a href=""/player/Corey-Fisher/Summary/2259"">Corey Fisher</a>",Starter,PG,23:13,7-12,4-7,4-5,13.4,0.0,1,1,3,3,1,1,0,22
23,"<a href=""/player/Goran-Huskic/Summary/52966"">Goran Huskic</a>",Starter,SF,21:03,3-6,0-1,4-7,7.1,1.0,1,2,2,1,2,1,0,10
12,"<a href=""/player/John-Jenkins/Summary/2377"">John Jenkins</a>",Starter,SG,24:05,4-8,2-3,4-4,8.8,1.0,1,2,1,1,0,0,0,14
11,"<a href=""/player/Sebastian-Saiz/Summary/27699"">Sebastian Saiz</a>",Starter,C,21:37,2-7,0-0,2-3,12.9,4.0,7,11,1,2,1,3,6,6
21,"<a href=""/player/Deon-Thompson/Summary/2324"">Deon Thompson</a>",Starter,PF,23:11,5-7,1-1,3-4,12.5,1.0,5,6,2,3,1,2,1,14
9,"<a href=""/player/Alex-Barrera/Summary/29022"">Alex Barrera</a>",Bench,SG,01:23,0-0,0-0,0-0,-0.5,0.0,0,0,0,1,0,0,0,0
31,"<a href=""/player/Vlatko-Cancar/Summary/54147"">Vlatko Cancar</a>",Bench,SF,16:32,2-5,1-3,1-1,1.1,2.0,1,3,0,5,0,1,0,6
25,"<a href=""/player/Alex-Lopez/Summary/26943"">Alex Lopez</a>",Bench,SG,18:56,2-6,0-2,0-1,2.6,0.0,2,2,2,2,2,1,0,4
15,"<a href=""/player/Edu-Martinez/Summary/25066"">Edu Martinez</a>",Bench,SF,15:50,0-2,0-2,1-1,-4.4,0.0,0,0,0,5,0,1,0,1
5,"<a href=""/player/Thomas-Schreiner/Summary/33644"">Thomas Schreiner</a>",Bench,PG,17:45,1-4,1-3,0-0,3.2,0.0,1,1,3,1,1,2,1,3
10,"<a href=""/player/Javier-Vega/Summary/24895"">Javier Vega</a>",Bench,PF,16:25,2-5,2-4,0-0,2.5,0.0,1,1,0,1,0,0,0,6
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,1,3,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
