#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
21,"<a href=""/player/Tomasz-Gielo/Summary/24813"">Tomasz Gielo</a>",Starter,PF,30:37,5-11,3-7,2-3,6.9,0.0,3,3,0,4,1,0,0,15
44,"<a href=""/player/Jerome-Jordan/Summary/2311"">Jerome Jordan</a>",Starter,C,30:22,7-11,0-0,2-3,14.6,2.0,4,6,1,2,1,0,2,16
12,"<a href=""/player/Saulius-Kulvietis/Summary/25915"">Saulius Kulvietis</a>",Starter,SF,23:29,0-4,0-4,2-2,1.2,0.0,2,2,2,1,1,1,0,2
6,"<a href=""/player/Xabier-Lopez-Arostegui/Summary/54463"">Xabier Lopez-Arostegui</a>",Starter,SG,17:28,4-8,3-6,0-0,6.2,0.0,3,3,0,2,0,0,0,11
9,"<a href=""/player/Sergi-Vidal/Summary/2446"">Sergi Vidal</a>",Starter,PG,23:38,1-6,1-4,0-0,2.2,0.0,1,1,4,2,1,1,0,3
35,"<a href=""/player/Simon-Birgander/Summary/93759"">Simon Birgander</a>",Bench,C,02:12,0-0,0-0,0-0,0.5,0.0,0,0,1,1,0,0,0,0
0,"<a href=""/player/Nenad-Dimitrijevic/Summary/53933"">Nenad Dimitrijevic</a>",Bench,PG,16:28,3-4,1-2,2-2,6.5,1.0,1,2,1,3,0,0,0,9
23,"<a href=""/player/Omari-Gudul/Summary/64113"">Omari Gudul</a>",Bench,C,08:22,0-1,0-0,2-2,1.0,2.0,0,2,0,1,0,1,0,2
-,"<a href=""/player/Dominik-Mavra/Summary/27587"">Dominik Mavra</a>",Bench,SF,14:26,1-2,1-2,0-0,1.5,0.0,0,0,3,2,0,2,0,3
35,"<a href=""/player/Patrick-Richard/Summary/21603"">Patrick Richard</a>",Bench,SF,15:35,0-1,0-1,1-2,-3.5,0.0,0,0,2,4,1,4,0,1
14,"<a href=""/player/Albert-Ventura/Summary/26843"">Albert Ventura</a>",Bench,SG,17:23,1-7,1-4,3-4,-0.2,3.0,0,3,0,3,0,1,0,6
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,2,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
