#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
45,"<a href=""/player/Janis-Blums/Summary/25159"">Janis Blums</a>",Starter,SG,24:08,6-10,4-7,1-2,6.8,0.0,4,4,0,4,2,5,0,17
27,"<a href=""/player/Nicolas-de-Jong/Summary/29614"">Nicolas de Jong</a>",Starter,C,18:25,3-5,0-0,0-0,3.2,2.0,2,4,0,1,1,3,0,6
9,"<a href=""/player/Nikola-Dragovic/Summary/6889"">Nikola Dragovic</a>",Starter,PF,24:03,4-8,3-6,5-5,12.6,1.0,4,5,0,1,0,0,1,16
13,"<a href=""/player/Gary-Neal/Summary/10568"">Gary Neal</a>",Starter,SF,25:52,7-16,2-7,0-0,4.2,0.0,1,1,2,5,1,1,0,16
11,"<a href=""/player/Tomas-Bellas/Summary/29044"">Tomas Bellas</a>",Starter,PG,27:17,0-5,0-1,2-2,2.8,1.0,1,2,6,3,0,1,0,2
7,"<a href=""/player/Jonathan-Barreiro/Summary/49148"">Jonathan Barreiro</a>",Bench,SF,14:03,2-3,2-3,0-0,5.5,0.0,3,3,0,1,0,0,0,6
13,"<a href=""/player/Sergi-Garcia/Summary/41705"">Sergi Garcia</a>",Bench,PG,12:43,0-2,0-1,2-2,-2.0,0.0,1,1,0,1,0,3,1,2
24,"<a href=""/player/Michal-Michalak/Summary/24810"">Michal Michalak</a>",Bench,SG,15:57,0-6,0-4,0-0,-5.0,0.0,2,2,0,2,0,1,0,0
33,"<a href=""/player/Alex-Suarez/Summary/25831"">Alex Suarez</a>",Bench,PF,16:20,1-3,1-3,0-0,6.2,1.0,4,5,1,1,1,0,0,3
5,"<a href=""/player/Juan-Jose-Triguero/Summary/29024"">Juan Jose Triguero</a>",Bench,C,04:37,0-0,0-0,2-2,1.2,0.0,0,0,0,0,0,0,0,2
32,"<a href=""/player/Jarvis-Varnado/Summary/2326"">Jarvis Varnado</a>",Bench,C,16:35,2-4,0-0,0-0,3.8,0.0,3,3,0,3,1,0,1,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,2,4,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
