#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
21,"<a href=""/player/Tim-Abromaitis/Summary/6202"">Tim Abromaitis</a>",Starter,PF,23:41,0-4,0-4,0-0,-2.5,0.0,4,4,0,3,1,3,1,0
20,"<a href=""/player/Mateusz-Ponitka/Summary/24344"">Mateusz Ponitka</a>",Starter,SF,30:48,4-6,0-0,7-9,7.9,0.0,3,3,0,3,0,1,1,15
5,"<a href=""/player/Nicolas-Richotti/Summary/39591"">Nicolas Richotti</a>",Starter,SG,22:33,3-8,0-4,6-6,7.0,0.0,1,1,4,3,1,1,0,12
0,"<a href=""/player/Rodrigo-San-Miguel/Summary/29008"">Rodrigo San Miguel</a>",Starter,PG,22:06,2-5,0-2,0-0,7.2,0.0,4,4,4,2,1,0,0,4
13,"<a href=""/player/Mike-Tobey/Summary/42307"">Mike Tobey</a>",Starter,C,23:25,7-10,0-0,0-0,9.8,1.0,5,6,0,3,0,0,0,14
25,"<a href=""/player/Rosco-Allen/Summary/24276"">Rosco Allen</a>",Bench,PF,16:50,2-7,1-2,0-0,1.2,1.0,2,3,0,2,0,0,0,5
-,"<a href=""/player/Pedro-Llompart/Summary/29017"">Pedro Llompart</a>",Bench,PG,18:08,4-7,3-6,1-1,7.4,1.0,0,1,1,0,0,1,0,12
7,"<a href=""/player/Mamadou-Niang/Summary/32921"">Mamadou Niang</a>",Bench,C,05:52,0-0,0-0,0-2,3.2,1.0,2,3,1,1,0,0,1,0
17,"<a href=""/player/Fran-Vazquez/Summary/358"">Fran Vazquez</a>",Bench,C,09:58,0-2,0-0,0-0,-0.5,0.0,2,2,0,1,0,0,0,0
-,"<a href=""/player/Adin-Vrabac/Summary/32814"">Adin Vrabac</a>",Bench,SF,09:15,0-1,0-0,0-0,0.2,0.0,0,0,0,0,1,0,0,0
34,"<a href=""/player/Davin-White/Summary/2041"">Davin White</a>",Bench,PG,17:24,0-3,0-2,2-2,2.5,0.0,0,0,4,1,1,2,1,2
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,1,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
