#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Starter,PG,23:08,1-9,1-8,0-0,-0.5,1.0,1,2,3,3,1,1,0,3
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,24:22,1-4,0-0,0-0,1.2,2.0,5,7,1,5,0,2,0,2
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,27:08,6-9,0-0,4-5,15.9,5.0,4,9,2,3,0,0,0,16
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,SF,22:03,2-10,0-0,0-2,-0.8,3.0,6,9,0,4,0,2,0,4
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Starter,SG,35:49,9-14,6-10,0-0,17.0,2.0,2,4,1,2,1,1,0,24
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,06:25,0-3,0-2,0-0,-1.2,1.0,0,1,0,0,0,0,0,0
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,15:50,2-5,0-0,2-4,6.8,0.0,4,4,3,0,0,0,0,6
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,19:01,1-4,1-3,0-0,-4.2,0.0,1,1,0,2,2,6,0,3
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,19:47,3-8,3-7,0-0,9.2,0.0,1,1,4,3,3,0,0,9
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,06:27,1-2,0-0,0-0,2.2,1.0,1,2,0,2,0,0,1,2
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;,&nbsp;,3,&nbsp;,&nbsp;
