#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
13,"<a href=""/player/Eulis-Baez/Summary/13138"">Eulis Baez</a>",Starter,PF,24:41,3-7,0-1,2-6,5.0,2.0,4,6,0,3,2,1,0,8
12,"<a href=""/player/Ondrej-Balvin/Summary/27496"">Ondrej Balvin</a>",Starter,C,20:16,3-7,0-0,3-6,7.0,2.0,4,6,0,1,0,0,1,9
22,"<a href=""/player/Xavi-Rabaseda/Summary/9747"">Xavi Rabaseda</a>",Starter,SF,30:09,2-7,0-3,2-2,1.2,1.0,1,2,1,3,1,1,0,6
31,"<a href=""/player/Nikola-Radicevic/Summary/25779"">Nikola Radicevic</a>",Starter,PG,20:11,3-4,0-0,2-2,6.0,0.0,1,1,2,4,2,1,0,8
11,"<a href=""/player/DJ-Seeley/Summary/6722"">D.J. Seeley</a>",Starter,SG,27:18,2-6,1-2,2-2,9.0,1.0,1,2,6,3,3,2,0,7
34,"<a href=""/player/Pablo-Aguilar/Summary/8218"">Pablo Aguilar</a>",Bench,PF,15:19,3-6,3-4,0-0,5.8,0.0,1,1,1,1,0,0,0,9
10,"<a href=""/player/Nicolas-Brussino/Summary/59353"">Nicolas Brussino</a>",Bench,PF,17:21,2-8,1-4,0-0,-0.2,0.0,1,1,2,4,1,1,0,5
40,"<a href=""/player/Luke-Fischer/Summary/50094"">Luke Fischer</a>",Bench,C,12:12,3-3,0-0,4-4,12.5,1.0,3,4,2,2,1,0,1,10
9,"<a href=""/player/Gal-Mekel/Summary/7577"">Gal Mekel</a>",Bench,PG,07:44,2-4,0-1,0-0,2.0,0.0,0,0,1,0,0,0,0,4
4,"<a href=""/player/Albert-Oliver/Summary/29021"">Albert Oliver</a>",Bench,PG,17:17,4-10,2-6,0-1,3.9,0.0,1,1,3,0,0,2,0,10
14,"<a href=""/player/Anzejs-Pasecniks/Summary/32736"">Anzejs Pasecniks</a>",Bench,C,07:32,2-2,0-0,2-2,6.0,2.0,1,3,0,1,0,2,2,6
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,2,6,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
