#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
14,"<a href=""/player/Gustavo-Ayon/Summary/25206"">Gustavo Ayon</a>",Starter,C,20:07,2-5,0-0,2-2,7.8,0.0,7,7,3,4,1,1,0,6
20,"<a href=""/player/Jaycee-Carroll/Summary/1795"">Jaycee Carroll</a>",Starter,PG,29:53,8-12,4-5,2-2,14.8,3.0,6,9,1,2,0,5,0,22
7,"<a href=""/player/Luka-Doncic/Summary/54148"">Luka Doncic</a>",Starter,SG,25:59,4-7,1-2,1-2,15.8,1.0,5,6,7,0,0,1,1,10
6,"<a href=""/player/Dino-Radoncic/Summary/98424"">Dino Radoncic</a>",Starter,PF,21:40,1-4,0-1,1-1,6.1,3.0,2,5,3,4,1,0,0,3
44,"<a href=""/player/Jeffery-Taylor/Summary/4807"">Jeffery Taylor</a>",Starter,SF,23:44,1-5,1-4,3-4,4.0,0.0,1,1,2,1,1,0,0,6
5,"<a href=""/player/Rudy-Fernandez/Summary/371"">Rudy Fernandez</a>",Bench,SG,08:48,0-4,0-2,3-3,1.1,0.0,3,3,0,0,1,1,0,3
3,"<a href=""/player/Anthony-Randolph/Summary/768"">Anthony Randolph</a>",Bench,PF,14:07,2-5,0-1,2-2,2.5,0.0,4,4,0,2,0,1,0,6
9,"<a href=""/player/Felipe-Reyes/Summary/2888"">Felipe Reyes</a>",Bench,C,04:13,2-2,0-0,0-0,3.5,1.0,0,1,0,0,0,0,0,4
22,"<a href=""/player/Edy-Tavares/Summary/39662"">Edy Tavares</a>",Bench,C,19:53,2-3,0-0,0-0,8.8,1.0,4,5,0,2,1,0,3,4
16,"<a href=""/player/Santiago-Yusta/Summary/54478"">Santiago Yusta</a>",Bench,SF,16:16,2-8,0-3,4-4,5.2,2.0,1,3,3,2,0,1,1,8
2,"<a href=""/player/Chasson-Randle/Summary/24199"">Chasson Randle</a>",Bench,PG,15:20,3-6,0-1,0-0,4.5,0.0,0,0,2,0,2,1,0,6
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,&nbsp;
