#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
15,"<a href=""/player/Jayson-Granger/Summary/24591"">Jayson Granger</a>",Starter,PG,19:27,2-8,1-4,0-0,3.5,1.0,0,1,6,1,0,2,0,5
17,"<a href=""/player/Vincent-Poirier/Summary/52578"">Vincent Poirier</a>",Starter,C,19:43,3-5,0-0,0-0,7.2,1.0,2,3,1,1,1,0,1,6
-,"<a href=""/player/Janis-Timma/Summary/24824"">Janis Timma</a>",Starter,SF,21:36,3-5,3-5,0-0,6.8,0.0,0,0,2,1,0,0,0,9
3,"<a href=""/player/Luca-Vildoza/Summary/40899"">Luca Vildoza</a>",Starter,SG,26:10,4-7,2-4,10-10,16.0,0.0,4,4,3,2,1,1,0,20
7,"<a href=""/player/Johannes-Voigtmann/Summary/25880"">Johannes Voigtmann</a>",Starter,PF,22:31,2-7,0-2,2-2,0.0,0.0,2,2,1,3,0,1,0,6
10,"<a href=""/player/Rodrigue-Beaubois/Summary/1627"">Rodrigue Beaubois</a>",Bench,PG,08:06,4-5,1-2,0-0,3.5,0.0,1,1,0,5,1,1,0,9
12,"<a href=""/player/Ilimane-Diop/Summary/27832"">Ilimane Diop</a>",Bench,C,19:10,2-3,0-0,1-2,3.8,1.0,5,6,0,4,0,2,1,5
29,"<a href=""/player/Patricio-Garino/Summary/24744"">Patricio Garino</a>",Bench,SF,16:20,1-5,0-0,0-0,4.2,2.0,4,6,1,0,1,1,0,2
9,"<a href=""/player/Marcelinho-Huertas/Summary/2707"">Marcelinho Huertas</a>",Bench,PG,09:22,1-2,1-2,0-0,3.0,0.0,0,0,3,1,0,1,0,3
11,"<a href=""/player/Matt-Janning/Summary/11001"">Matt Janning</a>",Bench,SG,18:59,4-10,3-7,2-2,10.8,0.0,4,4,3,0,0,1,1,13
8,"<a href=""/player/Rinalds-Malmanis/Summary/27876"">Rinalds Malmanis</a>",Bench,PF,02:21,0-0,0-0,0-0,-0.5,0.0,0,0,0,1,0,0,0,0
23,"<a href=""/player/Tornike-Shengelia/Summary/24387"">Tornike Shengelia</a>",Bench,PF,16:15,1-3,1-2,2-2,4.5,1.0,4,5,1,1,0,2,0,5
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,5,2,7,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;
