#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
9,"<a href=""/player/Marcelinho-Huertas/Summary/2707"">Marcelinho Huertas</a>",Starter,PG,25:06,5-7,0-2,6-6,16.5,0.0,2,2,9,3,0,1,0,16
11,"<a href=""/player/Matt-Janning/Summary/11001"">Matt Janning</a>",Starter,SG,27:10,4-9,3-5,4-4,7.2,0.0,2,2,0,0,1,2,0,15
17,"<a href=""/player/Vincent-Poirier/Summary/52578"">Vincent Poirier</a>",Starter,C,21:44,3-6,0-0,4-4,8.8,3.0,3,6,3,3,0,2,0,10
23,"<a href=""/player/Tornike-Shengelia/Summary/24387"">Tornike Shengelia</a>",Starter,PF,31:24,6-14,1-4,5-7,14.1,1.0,7,8,3,2,2,2,1,18
-,"<a href=""/player/Janis-Timma/Summary/24824"">Janis Timma</a>",Starter,SF,18:37,1-3,1-3,1-1,2.9,1.0,0,1,1,3,1,0,0,4
10,"<a href=""/player/Rodrigue-Beaubois/Summary/1627"">Rodrigue Beaubois</a>",Bench,PG,16:05,2-4,0-1,0-0,3.5,0.0,2,2,3,2,1,2,0,4
15,"<a href=""/player/Jayson-Granger/Summary/24591"">Jayson Granger</a>",Bench,PG,15:31,1-4,0-1,2-2,3.2,0.0,0,0,4,2,0,0,0,4
21,"<a href=""/player/Kevin-Jones/Summary/2370"">Kevin Jones</a>",Bench,PF,08:36,1-4,0-1,0-0,0.8,1.0,1,2,0,0,0,0,0,2
8,"<a href=""/player/Rinalds-Malmanis/Summary/27876"">Rinalds Malmanis</a>",Bench,PF,17:26,3-3,2-2,0-0,6.8,0.0,2,2,0,1,0,0,0,8
3,"<a href=""/player/Luca-Vildoza/Summary/40899"">Luca Vildoza</a>",Bench,PG,00:05,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0
7,"<a href=""/player/Johannes-Voigtmann/Summary/25880"">Johannes Voigtmann</a>",Bench,C,18:16,2-3,0-0,0-0,3.2,0.0,2,2,0,2,1,0,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,3,6,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
