#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SG,27:03,3-6,2-5,7-7,10.9,3.0,2,5,0,1,1,2,0,15
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,25:41,1-5,0-0,3-6,2.5,1.0,4,5,1,3,0,0,0,5
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,23:52,1-6,1-4,0-0,3.0,1.0,2,3,5,4,2,4,1,3
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,26:03,3-4,0-0,1-2,2.2,2.0,2,4,0,5,0,3,1,7
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,SF,20:17,0-5,0-1,1-2,0.5,1.0,4,5,2,4,2,3,1,1
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,06:04,1-1,1-1,0-2,1.8,0.0,1,1,0,1,0,0,0,3
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,17:52,4-5,1-1,1-2,6.5,0.0,0,0,1,0,0,0,0,10
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,15:27,3-7,2-5,2-2,3.0,0.0,0,0,2,2,0,2,0,10
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,12:57,0-1,0-1,0-0,-0.2,0.0,0,0,1,1,0,0,0,0
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,07:59,2-3,0-0,0-2,2.2,1.0,3,4,0,2,0,1,0,4
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Bench,SF,16:45,1-6,1-3,2-2,4.5,0.0,1,1,2,0,4,2,0,5
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,&nbsp;
