#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SG,27:30,7-8,3-4,4-4,14.8,1.0,1,2,2,1,0,2,0,21
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,29:36,2-2,0-0,0-0,11.5,2.0,8,10,1,0,1,2,1,4
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,PG,23:10,1-5,1-3,2-4,5.8,1.0,2,3,4,1,2,2,0,5
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,20:29,2-7,0-0,2-2,2.2,0.0,5,5,0,5,0,2,3,6
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Starter,SF,26:09,4-7,3-5,0-0,2.2,0.0,2,2,0,4,0,3,0,11
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,15:14,1-6,1-5,0-0,-2.8,0.0,1,1,1,2,1,3,0,3
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,17:56,0-3,0-1,1-2,-1.0,0.0,0,0,4,2,2,4,0,1
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,13:05,1-3,0-1,2-2,5.8,4.0,3,7,0,5,0,0,1,4
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,10:01,1-4,1-4,2-2,-2.8,0.0,0,0,0,2,0,3,0,5
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,16:50,1-4,0-0,2-2,0.0,0.0,1,1,0,2,0,0,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,2,4,&nbsp;,&nbsp;,&nbsp;,3,&nbsp;,&nbsp;
