#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
44,"<a href=""/player/Jerome-Jordan/Summary/2311"">Jerome Jordan</a>",Starter,C,26:03,1-3,0-0,5-6,6.0,2.0,2,4,1,4,2,4,3,7
12,"<a href=""/player/Saulius-Kulvietis/Summary/25915"">Saulius Kulvietis</a>",Starter,PF,21:55,2-6,2-4,0-0,4.8,1.0,3,4,2,4,1,1,0,6
10,"<a href=""/player/Nicolas-Laprovittola/Summary/25038"">Nicolas Laprovittola</a>",Starter,PG,36:11,4-12,2-5,1-3,5.4,3.0,4,7,5,3,1,6,0,11
35,"<a href=""/player/Patrick-Richard/Summary/21603"">Patrick Richard</a>",Starter,SG,16:36,4-9,1-4,0-0,6.5,3.0,3,6,0,2,0,0,0,9
9,"<a href=""/player/Sergi-Vidal/Summary/2446"">Sergi Vidal</a>",Starter,SF,23:23,1-7,1-5,1-1,-1.4,1.0,5,6,1,3,0,4,0,4
35,"<a href=""/player/Simon-Birgander/Summary/93759"">Simon Birgander</a>",Bench,C,13:57,2-3,0-0,0-0,7.0,4.0,3,7,0,2,0,0,0,4
-,"<a href=""/player/Demetrius-Conger/Summary/10816"">Demetrius Conger</a>",Bench,SF,11:47,1-5,0-2,0-0,-3.2,0.0,0,0,1,3,1,2,0,2
0,"<a href=""/player/Nenad-Dimitrijevic/Summary/53933"">Nenad Dimitrijevic</a>",Bench,PG,03:49,0-0,0-0,1-2,-1.2,0.0,0,0,0,1,1,2,0,1
21,"<a href=""/player/Tomasz-Gielo/Summary/24813"">Tomasz Gielo</a>",Bench,PF,15:39,3-5,2-2,0-0,4.5,1.0,3,4,0,4,0,1,0,8
6,"<a href=""/player/Xabier-Lopez-Arostegui/Summary/54463"">Xabier Lopez-Arostegui</a>",Bench,PF,13:14,2-5,0-2,2-2,1.2,0.0,1,1,0,2,0,0,0,6
13,"<a href=""/player/Jose-Nogues/Summary/27830"">Jose Nogues</a>",Bench,PF,02:26,0-1,0-0,0-2,0.5,2.0,0,2,0,0,0,0,0,0
14,"<a href=""/player/Albert-Ventura/Summary/26843"">Albert Ventura</a>",Bench,SG,15:00,0-3,0-2,4-4,2.2,0.0,0,0,1,2,2,0,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,2,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
