#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
8,"<a href=""/player/Vitor-Benite/Summary/28619"">Vitor Benite</a>",Starter,SG,24:21,2-6,1-4,2-2,4.8,0.0,2,2,2,3,1,0,0,7
16,"<a href=""/player/Marcos-Delia/Summary/24746"">Marcos Delia</a>",Starter,C,27:34,5-7,0-0,1-1,10.9,2.0,4,6,1,1,1,1,0,11
33,"<a href=""/player/Marko-Lukovic/Summary/26834"">Marko Lukovic</a>",Starter,PF,23:17,3-12,2-9,0-0,0.8,2.0,1,3,1,4,1,1,0,8
12,"<a href=""/player/Brad-Oleson/Summary/29006"">Brad Oleson</a>",Starter,PG,23:01,1-8,1-5,4-4,7.5,1.0,2,3,1,3,3,0,3,7
27,"<a href=""/player/Sadiel-Rojas/Summary/31397"">Sadiel Rojas</a>",Starter,SF,21:34,1-6,1-3,0-0,-1.2,2.0,1,3,0,5,2,2,0,3
13,"<a href=""/player/Vitor-Faverani/Summary/1673"">Vitor Faverani</a>",Bench,C,01:28,0-1,0-0,0-0,-0.8,0.0,0,0,0,0,0,0,0,0
11,"<a href=""/player/Clevin-Hannah/Summary/7555"">Clevin Hannah</a>",Bench,PG,20:31,3-8,2-6,1-1,5.4,0.0,3,3,2,3,2,2,0,9
9,"<a href=""/player/Charlon-Kloof/Summary/28029"">Charlon Kloof</a>",Bench,SG,15:47,3-8,1-3,5-6,3.2,1.0,0,1,2,3,0,3,1,12
5,"<a href=""/player/Alberto-Martin/Summary/27823"">Alberto Martin</a>",Bench,PG,03:42,0-0,0-0,0-0,1.0,0.0,0,0,1,0,0,0,0,0
99,"<a href=""/player/Ovie-Soko/Summary/8162"">Ovie Soko</a>",Bench,SF,10:10,0-6,0-4,0-0,-4.8,0.0,3,3,0,3,1,2,0,0
24,"<a href=""/player/Kevin-Tumba/Summary/43935"">Kevin Tumba</a>",Bench,PF,10:58,0-2,0-0,3-4,7.8,3.0,5,8,0,0,0,1,2,3
3,"<a href=""/player/Alex-Urtasun/Summary/29018"">Alex Urtasun</a>",Bench,SG,17:37,0-6,0-4,0-0,-1.8,1.0,3,4,0,1,0,0,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,&nbsp;,4,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
