#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,22:34,3-7,3-3,2-2,10.2,4.0,1,5,1,1,0,0,0,11
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,C,20:35,3-7,0-2,1-1,0.6,1.0,3,4,0,2,0,3,0,7
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,26:46,6-9,1-2,4-5,19.6,3.0,9,12,1,1,1,0,0,17
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,23:52,3-10,0-4,0-0,0.8,0.0,1,1,3,1,0,1,0,6
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,32:09,4-9,1-4,2-2,2.5,0.0,0,0,3,4,0,2,0,11
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,06:09,0-2,0-1,0-0,-2.5,0.0,0,0,0,2,0,0,0,0
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,19:47,4-7,2-4,0-0,6.2,0.0,2,2,2,4,0,0,0,10
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,16:08,0-3,0-1,2-2,2.8,1.0,3,4,2,1,0,1,0,2
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Bench,C,19:06,3-3,0-0,0-2,4.8,2.0,3,5,0,3,0,1,0,6
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,12:54,2-6,1-4,0-0,-0.5,0.0,0,0,0,2,0,0,0,5
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,4,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
