#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,C,22:31,2-4,1-1,1-2,8.8,0.0,4,4,3,1,0,0,1,6
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,22:16,3-6,0-0,1-2,7.0,1.0,3,4,0,2,1,1,3,7
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,29:45,3-9,3-8,2-2,8.0,0.0,2,2,7,4,0,2,0,11
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Starter,SF,25:19,2-4,2-3,0-0,7.8,3.0,1,4,1,0,0,0,0,6
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,30:36,5-11,2-4,4-4,3.8,0.0,0,0,2,3,1,4,0,16
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,13:34,2-4,2-4,2-2,10.0,1.0,1,2,3,0,1,0,0,8
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,04:51,0-3,0-3,0-0,-1.5,0.0,1,1,0,0,0,0,0,0
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,06:13,0-1,0-0,0-0,0.0,0.0,1,1,0,0,0,0,0,0
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Bench,C,17:36,3-5,0-0,2-4,6.5,2.0,3,5,1,3,0,0,0,8
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,17:27,4-7,0-0,0-0,3.2,1.0,0,1,0,3,1,1,1,8
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,09:52,0-2,0-1,0-0,-1.8,0.0,1,1,0,4,1,0,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,5,5,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
