#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,18:48,3-5,1-2,2-2,8.2,0.0,3,3,1,3,2,0,0,9
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,26:33,0-2,0-1,5-6,12.5,0.0,3,3,12,4,1,2,0,5
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,25:18,2-2,0-0,5-7,4.6,0.0,1,1,0,2,3,3,0,9
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,24:38,6-9,3-4,0-0,10.8,1.0,6,7,1,2,0,3,0,15
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,28:02,6-13,4-5,2-2,11.0,0.0,0,0,4,1,1,1,0,18
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,16:31,6-7,6-7,2-2,15.8,0.0,1,1,1,0,0,0,0,20
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,18:05,1-1,0-0,1-1,1.6,0.0,3,3,0,3,0,1,0,3
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,16:39,3-6,0-0,0-0,6.0,1.0,2,3,4,4,0,0,0,6
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,13:27,1-3,1-3,0-0,-0.8,0.0,0,0,2,1,0,3,0,3
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,11:59,4-4,0-0,0-1,4.4,1.0,1,2,0,4,0,1,1,8
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,1,3,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
