#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
1,"<a href=""/player/Danny-Agbelese/Summary/23581"">Danny Agbelese</a>",Starter,PF,27:48,3-6,0-0,6-8,9.5,1.0,4,5,1,2,0,1,2,12
3,"<a href=""/player/Kenny-Chery/Summary/56876"">Kenny Chery</a>",Starter,PG,29:35,4-13,3-9,3-3,5.6,2.0,2,4,1,2,0,1,0,14
88,"<a href=""/player/Dan-Clark/Summary/2442"">Dan Clark</a>",Starter,C,36:07,7-17,3-8,1-2,15.8,5.0,7,12,3,2,0,2,1,18
44,"<a href=""/player/Jordan-Swing/Summary/20395"">Jordan Swing</a>",Starter,SF,26:03,6-8,1-2,2-2,10.5,0.0,3,3,1,4,1,0,0,15
4,"<a href=""/player/Federico-Van-Lacke/Summary/29023"">Federico Van Lacke</a>",Starter,SG,28:51,5-7,0-2,4-5,11.1,0.0,1,1,4,3,0,1,2,14
15,"<a href=""/player/Xabi-Beraza/Summary/94503"">Xabi Beraza</a>",Bench,SF,06:07,1-1,1-1,0-0,3.0,0.0,1,1,0,0,0,0,0,3
17,"<a href=""/player/Michael-Fakuade/Summary/11336"">Michael Fakuade</a>",Bench,PF,19:51,4-7,0-0,3-3,8.6,3.0,2,5,3,5,1,2,0,11
11,"<a href=""/player/Joan-Pardina/Summary/39709"">Joan Pardina</a>",Bench,SF,15:21,1-3,0-2,0-0,0.5,1.0,1,2,0,2,0,0,0,2
5,"<a href=""/player/Dani-Perez/Summary/25057"">Dani Perez</a>",Bench,PG,18:26,3-5,1-1,0-0,2.0,0.0,1,1,1,4,0,1,0,7
10,"<a href=""/player/Miquel-Salvo/Summary/58673"">Miquel Salvo</a>",Bench,C,16:51,4-4,3-3,0-0,8.8,0.0,1,1,0,0,1,1,0,11
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
