#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
14,"<a href=""/player/Bojan-Dubljevic/Summary/25931"">Bojan Dubljevic</a>",Starter,C,26:46,5-13,0-2,1-2,9.2,2.0,7,9,2,1,0,0,0,11
32,"<a href=""/player/Erick-Green/Summary/3715"">Erick Green</a>",Starter,SG,27:58,6-14,1-4,6-7,15.1,0.0,3,3,4,0,1,0,2,19
30,"<a href=""/player/Joan-Sastre/Summary/25969"">Joan Sastre</a>",Starter,SF,29:45,3-5,0-1,2-2,10.0,1.0,2,3,4,0,0,1,1,8
10,"<a href=""/player/Will-Thomas/Summary/1860"">Will Thomas</a>",Starter,PF,25:53,3-6,0-2,0-0,8.0,2.0,4,6,0,1,2,0,0,6
9,"<a href=""/player/Sam-Van-Rossom/Summary/28609"">Sam Van Rossom</a>",Starter,PG,22:49,5-6,3-4,0-0,11.5,0.0,0,0,4,2,0,0,0,13
42,"<a href=""/player/Aaron-Doornekamp/Summary/24058"">Aaron Doornekamp</a>",Bench,PF,22:22,2-5,2-3,0-0,6.2,4.0,2,6,0,5,2,1,0,6
51,"<a href=""/player/Tryggvi-Hlinason/Summary/93775"">Tryggvi Hlinason</a>",Bench,C,00:32,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0
17,"<a href=""/player/Rafa-Martinez/Summary/29009"">Rafa Martinez</a>",Bench,SG,13:14,4-6,1-2,2-2,8.8,0.0,4,4,1,0,1,2,0,11
21,"<a href=""/player/Tibor-Pleiss/Summary/8219"">Tibor Pleiss</a>",Bench,C,12:26,1-4,0-0,2-2,-0.8,1.0,2,3,0,3,0,3,1,4
16,"<a href=""/player/Guillem-Vives/Summary/26573"">Guillem Vives</a>",Bench,PG,17:11,0-4,0-3,0-2,-4.2,1.0,0,1,0,3,1,1,0,0
16,"<a href=""/player/Pedro-Llompart/Summary/29017"">Pedro Llompart</a>",Bench,PG,00:32,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0
3,"<a href=""/player/Josep-Puerto/Summary/94514"">Josep Puerto</a>",Bench,SF,00:32,0-0,0-0,2-2,1.2,0.0,0,0,0,0,0,0,0,2
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
