#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
8,"<a href=""/player/Dario-Brizuela/Summary/27693"">Dario Brizuela</a>",Starter,SG,31:40,6-10,2-4,10-11,13.1,0.0,3,3,1,3,0,1,0,24
21,"<a href=""/player/Alec-Brown/Summary/23740"">Alec Brown</a>",Starter,C,26:06,5-10,3-6,3-4,12.0,1.0,2,3,2,3,1,0,1,16
22,"<a href=""/player/Nik-Caner-Medley/Summary/1732"">Nik Caner-Medley</a>",Starter,PF,32:24,4-9,1-2,2-4,9.2,3.0,6,9,1,4,0,0,0,11
10,"<a href=""/player/Omar-Cook/Summary/669"">Omar Cook</a>",Starter,PG,35:18,4-7,2-4,7-7,13.9,0.0,1,1,9,4,1,4,0,17
9,"<a href=""/player/Edgar-Vicedo/Summary/27697"">Edgar Vicedo</a>",Starter,SF,24:39,2-5,1-4,1-1,5.4,2.0,2,4,1,4,1,0,0,6
77,"<a href=""/player/Victor-Arteaga/Summary/30679"">Victor Arteaga</a>",Bench,C,09:48,2-7,0-0,2-2,3.5,1.0,2,3,0,0,0,1,2,6
4,"<a href=""/player/Aleksandar-Cvetkovic/Summary/24800"">Aleksandar Cvetkovic</a>",Bench,PG,13:33,0-3,0-2,0-0,-2.5,0.0,1,1,0,2,0,0,0,0
6,"<a href=""/player/Ludde-Hakanson/Summary/32962"">Ludde Hakanson</a>",Bench,PG,20:17,7-12,6-8,2-2,10.0,1.0,1,2,0,4,0,2,0,22
11,"<a href=""/player/Dago-Pena/Summary/7815"">Dago Pena</a>",Bench,SF,14:46,4-5,3-4,0-0,8.2,0.0,0,0,2,2,0,0,0,11
17,"<a href=""/player/Sitapha-Savane/Summary/26449"">Sitapha Savane</a>",Bench,PF,05:11,0-0,0-0,0-2,-1.0,0.0,1,1,0,2,0,0,0,0
12,"<a href=""/player/Goran-Suton/Summary/1686"">Goran Suton</a>",Bench,C,11:18,0-1,0-0,3-4,1.2,0.0,2,2,0,4,0,0,1,3
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,2,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
