#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,SF,22:49,3-6,0-1,0-0,6.2,2.0,3,5,2,1,0,1,0,6
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,25:12,2-5,0-0,0-0,4.5,0.0,1,1,7,3,1,3,0,4
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,27:58,6-7,0-0,5-5,17.9,3.0,4,7,1,4,1,1,3,17
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,22:57,6-9,0-0,3-3,13.9,2.0,7,9,0,3,1,1,1,15
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,22:43,3-6,1-1,2-2,3.2,0.0,2,2,0,2,0,1,0,9
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,19:02,4-8,1-3,1-4,7.8,2.0,5,7,0,1,0,0,0,10
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,06:33,0-2,0-2,0-0,-2.0,0.0,0,0,0,1,0,0,0,0
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,15:00,2-3,0-1,0-0,-0.8,0.0,0,0,0,3,0,1,0,4
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,16:42,1-2,0-0,3-4,3.8,1.0,1,2,1,2,0,0,0,5
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,14:48,2-4,1-3,2-3,1.9,0.0,2,2,0,1,0,2,0,7
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,06:16,0-1,0-1,0-0,-1.2,0.0,0,0,0,1,0,0,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,&nbsp;
