#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,34:44,4-8,3-7,9-10,16.2,2.0,6,8,3,3,1,4,1,20
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Starter,SG,22:55,5-8,5-8,2-2,12.5,0.0,3,3,1,0,0,1,0,17
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,C,31:08,7-12,0-2,3-6,8.2,1.0,2,3,2,4,0,0,0,17
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,25:55,3-6,1-4,0-0,8.8,1.0,1,2,5,3,1,0,0,7
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Starter,PF,24:55,3-8,3-5,0-0,4.8,0.0,1,1,1,0,0,0,0,9
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,04:09,0-0,0-0,0-0,0.5,0.0,0,0,1,1,0,0,0,0
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,06:07,0-1,0-0,4-4,3.5,0.0,1,1,1,0,1,1,0,4
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Bench,C,15:54,2-4,0-0,2-2,-1.2,1.0,0,1,0,5,0,2,0,6
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,14:58,4-8,1-1,0-2,4.0,1.0,1,2,0,0,0,0,0,9
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,19:05,2-4,2-4,0-0,8.0,1.0,0,1,6,2,0,1,0,6
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,09:21,0-1,0-0,0-0,0.0,1.0,1,2,2,4,0,1,0,0
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Bench,SF,16:39,2-6,0-3,0-0,1.5,0.0,4,4,1,2,1,2,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,2,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;
