#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Starter,SF,23:25,3-6,1-3,1-1,5.1,0.0,2,2,1,1,0,0,0,8
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,23:40,6-8,0-0,2-4,9.8,1.0,3,4,0,4,0,0,2,14
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,18:23,2-5,0-1,2-3,-1.1,0.0,3,3,1,3,0,4,0,6
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,26:38,2-6,1-4,1-2,7.5,1.0,1,2,6,2,0,0,0,6
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,26:07,5-12,3-6,0-0,5.2,0.0,5,5,1,1,0,3,0,13
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,12:42,2-5,0-2,0-0,4.2,2.0,2,4,0,1,0,0,1,4
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,04:57,2-3,2-3,0-0,2.8,0.0,0,0,0,0,0,1,0,6
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,16:17,1-4,0-1,0-0,0.0,1.0,4,5,0,4,0,1,0,2
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,13:06,1-5,0-0,0-0,1.5,1.0,1,2,2,1,0,0,0,2
23,"<a href=""/player/Adam-Pechacek/Summary/28050"">Adam Pechacek</a>",Bench,PF,16:20,1-2,1-1,0-0,0.0,0.0,0,0,0,1,0,1,0,3
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,13:22,0-1,0-1,0-0,1.8,0.0,0,0,4,3,0,0,0,0
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,05:04,1-2,1-1,0-0,1.5,0.0,0,0,0,0,0,0,0,3
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,2,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,&nbsp;
