#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
17,"<a href=""/player/Michael-Fakuade/Summary/11336"">Michael Fakuade</a>",Starter,PF,21:47,2-3,1-2,2-2,10.0,1.0,6,7,0,3,0,1,3,7
64,"<a href=""/player/Henk-Norel/Summary/1663"">Henk Norel</a>",Starter,C,25:43,3-8,0-0,1-2,11.5,4.0,3,7,3,2,2,0,1,7
5,"<a href=""/player/Dani-Perez/Summary/25057"">Dani Perez</a>",Starter,PG,34:00,4-15,1-6,3-4,4.5,1.0,1,2,6,1,0,2,0,12
44,"<a href=""/player/Jordan-Swing/Summary/20395"">Jordan Swing</a>",Starter,SF,25:50,3-10,0-2,2-2,3.8,0.0,6,6,0,3,1,1,1,8
4,"<a href=""/player/Federico-Van-Lacke/Summary/29023"">Federico Van Lacke</a>",Starter,SG,31:24,7-9,2-2,0-0,17.0,0.0,3,3,7,1,1,2,0,16
1,"<a href=""/player/Danny-Agbelese/Summary/23581"">Danny Agbelese</a>",Bench,PF,14:17,4-4,0-0,0-0,6.5,2.0,0,2,0,1,0,1,1,8
88,"<a href=""/player/Dan-Clark/Summary/2442"">Dan Clark</a>",Bench,C,18:13,2-6,1-2,2-2,3.2,0.0,6,6,0,2,0,2,0,7
7,"<a href=""/player/Xabi-Oroz/Summary/41706"">Xabi Oroz</a>",Bench,SG,09:00,1-1,0-0,1-1,0.1,0.0,1,1,0,1,0,2,0,3
10,"<a href=""/player/Miquel-Salvo/Summary/58673"">Miquel Salvo</a>",Bench,C,19:46,1-5,0-2,2-2,0.5,2.0,4,6,0,2,0,3,0,4
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,3,7,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
