#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SG,27:37,5-11,2-7,4-6,8.8,1.0,5,6,0,3,2,2,0,16
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,26:49,2-3,0-1,2-2,4.5,3.0,0,3,1,3,1,3,1,6
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,PG,24:56,2-6,1-3,0-0,2.8,0.0,3,3,2,2,1,2,0,5
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,28:34,5-9,0-0,0-0,6.8,2.0,4,6,0,3,0,4,4,10
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Starter,SF,19:36,4-10,2-7,0-0,9.0,1.0,4,5,3,3,1,0,0,10
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,13:19,0-1,0-0,0-0,-0.5,0.0,1,1,2,3,0,1,0,0
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,18:26,6-15,0-2,0-2,8.2,8.0,1,9,1,1,0,2,1,12
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,19:28,4-7,4-7,5-6,12.0,1.0,2,3,3,2,0,2,0,17
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,06:03,0-0,0-0,1-2,1.0,0.0,1,1,0,2,0,0,1,1
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Bench,SF,15:12,0-4,0-2,0-0,-1.5,0.0,2,2,2,2,1,2,0,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,2,5,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
