#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,21:09,3-7,2-5,0-0,3.0,0.0,1,1,0,1,1,1,0,8
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,28:24,3-5,0-1,6-6,12.2,2.0,9,11,0,3,0,6,5,12
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,20:05,6-10,1-2,3-4,13.2,3.0,5,8,0,1,0,0,0,16
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,21:26,5-7,3-4,0-0,8.5,0.0,1,1,4,2,0,3,0,13
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,22:42,8-9,3-4,1-1,14.1,1.0,1,2,0,1,0,0,0,20
33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,04:00,0-3,0-3,0-0,-0.2,0.0,0,0,2,0,0,0,0,0
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,16:07,2-5,1-3,0-0,-1.2,0.0,0,0,0,5,0,0,0,5
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,17:26,1-1,0-0,0-0,7.0,0.0,7,7,1,3,0,0,1,2
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,16:02,4-7,0-1,1-3,5.9,0.0,1,1,2,1,1,0,0,9
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,18:34,0-1,0-1,2-2,7.8,0.0,1,1,6,3,2,0,0,2
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,14:05,3-5,1-3,0-0,5.5,2.0,1,3,1,3,0,0,0,7
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,4,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
