#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,PF,29:23,2-7,1-4,2-2,4.8,1.0,5,6,0,0,1,2,0,7
20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Starter,SG,18:03,4-9,0-3,0-1,3.9,2.0,2,4,1,1,0,1,0,8
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,25:08,1-3,0-2,2-2,6.2,1.0,1,2,5,3,2,2,0,4
11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,C,28:47,5-10,0-1,0-2,2.2,0.0,4,4,1,5,0,1,0,10
21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SF,27:50,6-11,1-5,5-5,8.6,1.0,1,2,2,4,1,2,0,18
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,04:44,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,17:21,1-5,0-1,1-2,5.2,2.0,3,5,3,1,0,0,0,3
13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Bench,C,17:02,2-4,0-0,2-4,4.5,1.0,4,5,0,4,0,1,2,6
3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,14:52,2-6,2-6,0-0,1.8,0.0,1,1,0,3,1,0,0,6
7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,11:06,1-4,1-3,0-0,0.8,0.0,1,1,0,0,0,0,0,3
16,"<a href=""/player/Nick-Spires/Summary/32835"">Nick Spires</a>",Bench,C,05:44,0-1,0-0,0-0,2.0,0.0,1,1,0,0,0,0,2,0
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,3,5,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;
