#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
13,"<a href=""/player/Eulis-Baez/Summary/13138"">Eulis Baez</a>",Starter,SF,23:02,4-7,1-3,4-4,5.0,1.0,3,4,2,5,0,4,0,13
12,"<a href=""/player/Ondrej-Balvin/Summary/27496"">Ondrej Balvin</a>",Starter,PF,24:59,1-5,0-0,1-2,1.2,0.0,5,5,0,0,1,2,0,3
9,"<a href=""/player/Gal-Mekel/Summary/7577"">Gal Mekel</a>",Starter,PG,20:02,2-6,0-2,4-6,1.2,0.0,2,2,3,3,0,3,0,8
14,"<a href=""/player/Anzejs-Pasecniks/Summary/32736"">Anzejs Pasecniks</a>",Starter,C,21:11,1-6,0-1,2-6,0.5,1.0,3,4,0,2,1,1,1,4
11,"<a href=""/player/DJ-Seeley/Summary/6722"">D.J. Seeley</a>",Starter,SG,27:12,3-7,1-3,0-0,8.0,2.0,3,5,2,0,1,1,0,7
8,"<a href=""/player/Marcus-Eriksson/Summary/26852"">Marcus Eriksson</a>",Bench,PF,12:14,3-4,2-3,1-1,7.1,0.0,2,2,0,0,0,0,0,9
40,"<a href=""/player/Luke-Fischer/Summary/50094"">Luke Fischer</a>",Bench,C,10:48,1-3,0-0,0-0,1.2,1.0,4,5,1,3,0,2,0,2
-,"<a href=""/player/Shaquielle-McKissic/Summary/56821"">Shaquielle McKissic</a>",Bench,SF,19:24,2-4,1-2,0-2,1.0,1.0,1,2,0,2,0,1,0,5
4,"<a href=""/player/Albert-Oliver/Summary/29021"">Albert Oliver</a>",Bench,PG,19:58,2-7,0-2,0-0,3.5,0.0,3,3,5,1,0,2,0,4
21,"<a href=""/player/Oriol-Pauli/Summary/32830"">Oriol Pauli</a>",Bench,PF,13:16,3-4,1-1,1-1,1.9,0.0,1,1,0,1,0,3,0,8
22,"<a href=""/player/Xavi-Rabaseda/Summary/9747"">Xavi Rabaseda</a>",Bench,PF,07:54,1-2,0-0,0-0,0.8,0.0,1,1,0,1,0,1,1,2
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,&nbsp;,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
