#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
21,"<a href=""/player/Tim-Abromaitis/Summary/6202"">Tim Abromaitis</a>",Starter,C,29:29,1-4,1-2,2-2,14.0,2.0,9,11,3,4,2,0,1,5
33,"<a href=""/player/Javier-Beiran/Summary/26241"">Javier Beiran</a>",Starter,SF,21:30,2-5,1-4,0-0,2.5,1.0,3,4,0,0,0,2,0,5
20,"<a href=""/player/Mateusz-Ponitka/Summary/24344"">Mateusz Ponitka</a>",Starter,SG,26:12,5-8,3-4,10-13,13.9,0.0,3,3,0,1,1,2,1,23
0,"<a href=""/player/Rodrigo-San-Miguel/Summary/29008"">Rodrigo San Miguel</a>",Starter,PG,21:30,2-5,0-2,3-4,4.2,0.0,2,2,4,2,0,2,0,7
77,"<a href=""/player/Kostas-Vasiliadis/Summary/2680"">Kostas Vasiliadis</a>",Starter,PF,29:55,5-11,3-9,5-6,10.5,0.0,2,2,1,1,1,1,1,18
-,"<a href=""/player/Josh-Akognon/Summary/2578"">Josh Akognon</a>",Bench,PG,10:07,2-4,1-3,0-0,1.0,0.0,0,0,1,4,0,0,0,5
-,"<a href=""/player/Tobias-Borg/Summary/26849"">Tobias Borg</a>",Bench,PG,00:28,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0
7,"<a href=""/player/Mamadou-Niang/Summary/32921"">Mamadou Niang</a>",Bench,C,10:55,0-1,0-0,0-0,1.0,0.0,3,3,0,3,0,1,2,0
-,"<a href=""/player/Tai-Odiase/Summary/80691"">Tai Odiase</a>",Bench,C,02:21,0-2,0-0,0-0,-2.5,0.0,0,0,0,0,0,1,0,0
13,"<a href=""/player/Mike-Tobey/Summary/42307"">Mike Tobey</a>",Bench,C,17:03,1-5,1-1,2-2,1.0,2.0,2,4,0,2,0,2,0,5
17,"<a href=""/player/Fran-Vazquez/Summary/358"">Fran Vazquez</a>",Bench,C,12:02,1-3,0-0,0-0,0.8,1.0,0,1,1,0,1,2,0,2
10,"<a href=""/player/Ferran-Bassas/Summary/30147"">Ferran Bassas</a>",Bench,PG,18:28,1-3,1-2,0-0,3.0,0.0,1,1,2,1,0,0,0,3
&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
